question,answer,document
Что происходит с пунктами 3.1 и 4 статьи 183?," Недостаточно данных в нормативной базе, чтобы указать точное действие с пунктами 3.1 и 4 статьи 183.","['Трудовой кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какой ГОСТ определяет стоимость 1 м² общей площади для культурно-бытового строительства?," Недостаточно данных в нормативной базе для ответа на данный вопрос. Исходные тексты, предоставленные для данного задания, не содержат ссылки на ГОСТы по определению стоимости 1 м² общей площади для культурно-бытового строительства.","['Жилищный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какие сведения подлежат указанию в декларации на товары в отношении сделки с товарами и ее условий?," Ответ:
Для указания в декларации на товары в отношении сделки с товарами и ее условий подлежат указание следующие сведения (по артикулу 171 Налогового кодекса Российской Федерации):
- сведения, содержащиеся в налоговой декларации, представленной налогоплательщиком;
- сведения, содержащиеся в отчете об операциях с товарами, подлежащими прослеживаемости, и (или) документах, содержащих реквизиты прослеживаемости, представленных в налоговый орган.","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие права и ответственности разъясняются специалисту?," Права и обязанности разъясняются эксперту, а не специалисту. Разъяснение происходит в соответствии с статьей 269 Уголовно-процессуального кодекса России. Там указаны права и ответственность предусмотренные статьей 57 настоящего Кодекса.","['Трудовой кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какие ставки используются для определения платежей по процентам за кредиты банков?," Стоимость ценных бумаг, переданных по договору займа, принимается равной рыночной цене соответствующих ценных бумаг на дату заключения договора, а при отсутствии рыночной цены - расчетной цене. При этом рыночная цена и расчетная цена ценных бумаг определяются в соответствии с статьей 280 налогового кодекса России.

В случаях, предусмотренных договором займа, стоимость ценных бумаг также может определяться по правилам оценки обеспечения клиента брокера по предоставленным займам, установленным Центральным банком Российской Федерации. При этом стоимость ценных бумаг определяется исходя из последней цены ценной бумаги, рассчитанной по указанным правилам в торговый день, определенный в соответствии с документами фондовой биржи.

Эта информация может быть найдена в статьях 212 и 279 налогового кодекса России.","['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации']"
"Что делать водителю, если документы о ДТП не могут быть оформлены без участия сотрудников полиции?"," Чтобы оформить документы об ДТП, водитель должен привлечь к участию сотрудников полиции в соответствии с законом.","['Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
Какие меры наказания управляющего проекта за неудачное управление конкурентностью работников указаны в ГОСТ МДС 80-2.2000?," Недостаточно данных в нормативной базе для ответа на вопрос о мерях наказания управляющего проекта за неудачное управление конкурентностью работников, как это описывается в ГОСТ МДС 80-2.2000. Это документ относится к государственным стандартам по техническим системам менеджмента и не содержит сведений об административном наказании или санкциях против персонала проекта.","['Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие регионы освобождаются от уплаты налога на прибыль?, Недостаточно данных в нормативной базе для точного ответа.,['Налоговый кодекс Российской Федерации']
Какие основания существуют для отказа в открытии лицевого счета участнику казначейского сопровождения?," Отказ в открытии лицевого счета может быть оправдан следующими основаниями:
1. Неправильный указание налогоплательщиком или иным лицом, предъявившим в банк поручение на перечисление в бюджетную систему Российской Федерации денежных средств в счет уплаты налога за налогоплательщика, в поручении на перечисление суммы налога номера счета Федерального казначейства и наименования банка получателя, повлекшего неперечисление этой суммы в бюджетную систему Российской Федерации на соответствующий счет Федерального казначейства.
2. На день предъявления налогоплательщиком (иным лицом, предъявившим в банк поручение на перечисление в бюджетную систему Российской Федерации денежных средств в счет уплаты налога) в банк (орган Федерального казначейства, иной уполномоченный орган, осуществляющий открытие и ведение лицевых счетов) поручения на перечисление денежных средств в счет уплаты налога этот налогоплательщик (иное лицо) имеет иные неисполненные требования, которые предъявлены к его счету (лицевому счету) и в соответствии с гражданским законодательством Российской Федерации исполняются в первоочередном порядке, и если на этом счете (лицевом счете) нет достаточного остатка для удовлетворения всех требований.
3. Отсутствие урожденного лица или юридического лица, заявителя, судимости за преступления в сфере экономики (за исключением лиц, у которых такая судимость погашена или снята), а также неприменение в отношении указанных лиц наказания в виде лишения права занимать определенные должности или заниматься определенной деятельностью в сфере строительства, реконструкции или организации строительства, реконструкции объектов капитального строительства и административное наказание в виде дисквалификации.
4. Неприостановление деятельности заявителя в порядке, установленном Кодексом Российской Федерации об административных правонарушениях, на день подачи заявки на участие в аукционе.","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какие сроки и процедуры заключения соглашений о недопущении конкуренции описаны в ГОСТ МДС 80-2.2000?," Недостаточно данных в нормативной базе для решения заданного вопроса. ГОСТ МДС 80-2.2000, к которому применяется, не упоминается среди исходных документов контекста.","['Гражданский кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
Что может требовать правообладатель в случае незаконного использования товарного знака?, Автор или иной правообладатель вправе требовать применения к нарушителю мер защиты исключительного права в соответствии со статьей 1252 настоящего Кодекса.,['Гражданский кодекс Российской Федерации']
Какие телефонные номера доступны для бесплатной юридической консультации в регионах России?, 8 (800) 301-92-12 (Регионы РФ),"['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какие лица не требуют членства в саморегулируемых организациях при выполнении работ по договорам строительного подряда с федеральными органами исполнительной власти?," Индивидуальный предприниматель или юридическое лицо, не являющееся членами саморегулируемых организаций в области строительства, могут выполнять работы по договорам строительного подряда с федеральными органами исполнительной власти в случае, если размер обязательств по каждому из таких договоров не превышает десяти миллионов рублей.","['Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
"Какой штраф может быть наложен на граждан за незаконное перемещение физическими лицами табачной продукции, не маркированной специальными (акцизными) марками?"," Наложен административный штраф на граждан в размере от пятнадцати тысяч до двадцати пяти тысяч рублей с конфискацией продукции, явившейся предметом административного правонарушения.","['Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации']"
"Что происходит с решениями иностранных судов, которые не требуют принудительного исполнения?"," Что происходит с решениями иностранных судов, которые не требуют принудительного исполнения: признаются без какого-либо дальнейшего производства, если со стороны заинтересованного лица не поступят возражения относительно этого (по Статье 413 Гражданского процессуального кодекса России).","['Жилищный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
"В каких случаях законные представители могут передать земельные участки, наследуемые несовершеннолетними, в аренду?"," Недостаточно данных в нормативной базе для того, чтобы определить, какие случаи разрешают законным представителям передавать земельные участки, наследуемые несовершеннолетними, в аренду.","['Гражданский кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
В какие сроки должна быть представлена транзитная декларация при перевозке товаров автомобильным транспортом?," ""Недостаточно данных в нормативной базе""",['Налоговый кодекс Российской Федерации']
Как устанавливаются порядок и сроки внесения платы за подключение объектов капитального строительства?," Порядок и сроки внесения платы за подключение (технологическое присоединение) объектов капитального строительства устанавливаются исходя из этапов архитектурно-строительного проектирования, строительства, реконструкции в соответствии с графиком оплаты указанных мероприятий, предусмотренных договорами о подключении (технологическом присоединении), а также с учетом особенностей, предусмотренных частями 10, 11 и 12 статьи 5 Градостроительного кодекса Россииской Федерации.",['Градостроительный кодекс Российской Федерации']
На что не имеют права участники судебных прений?," Участники судебных прений не могут ссылаться на доказательства, которые не рассматривались в судебном заседании или признаны судом недопустимыми.","['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какой максимальный срок лишения свободы может быть назначен за нарушение требований по защите государственной тайны?," Максимальный срок лишения свободы, который может быть назначен за нарушение требований по защите государственной тайны, составляет 3 года. (Источник: Уголовно-процессуальный кодекс России, статья 284)","['Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Что такое совместная собственность?," Совместная собственность в данном контексте обозначает имущество, которым обладают несколько лиц с общими правами на него, что может быть результатом совместной деятельности или договора простого товарищества. В случае соглашения между лицами, которые совместно владеют имуществом, могут предусматриваться разные правила распределения прав и доходов от использования этого имущества.","['Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Можно ли применять разные налоговые ставки в зависимости от покупателя?," ""Не допускается применение разных налоговых ставок в зависимости от того, кто является покупателем (приобретателем) соответствующих товаров (работ, услуг).""",['Налоговый кодекс Российской Федерации']
Кто может заключить договор безвозмездного пользования лесным участком?, Собственник или лица уполномоченные на то законом или собственником могут заключить договор безвозмездного пользования лесным участком.,"['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
На основании каких сведений осуществляется постановка на учет иностранной организации через отделения некоммерческих неправительственных организаций?," ""На основании сведений, содержащихся в Едином государственном реестре юридических лиц""",['Налоговый кодекс Российской Федерации']
"Какие условия должны соблюдаться при вселении граждан, постоянно проживающих с нанимателем?"," 1. Согласием наймодателя
2. С согласия других граждан, постоянно с ним проживающих
3. В договоре найма жилого помещения должны быть указаны эти граждане
4. При отсутствии указаний в договоре, вселение производится в соответствии с правилами Статьи 679 Гражданского Кодекса Российской Федерации
5. Кроме случая вселения несовершеннолетних детей, должны соблюдаться требования законодательства о норме общей площади жилого помещения на одного человека","['Жилищный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
"Что происходит, если налогоплательщик не уплатил или не полностью уплатил суммы, указанные в требовании об уплате налога и процентов?"," В соответствии с статьей 45 Налогового кодекса России, если налогоплательщик не уплатил или не полностьfully уплатил суммы, указанные в требовании об уплате налога и процентов, в установленный срок производится взыскание таких сумм в порядке, установленном статьей 48 Налогового кодекса России.",['Налоговый кодекс Российской Федерации']
"Какие переходные положения существуют для свободных складов, владельцы которых включены в реестр владельцев свободных складов до 1 мая 2010 г.?"," Ответ: Недостаточно данных в нормативной базе для определения переходных положений для свободных складов, владельцы которых включены в реестр владельцев свободных складов до 1 мая 2010 г.","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Что такое зоны с особыми условиями использования земель?," Зоны с особыми условиями использования территорий - это территории, в которых установлены ограничения на разрешенное использование земельных участков и объектов капитального строительства (артикулы 55.33 и 9 Градостроительного кодекса России).",['Градостроительный кодекс Российской Федерации']
Какие законодательные акты лежат в основе Рекомендаций? (ГОСТ), Недостаточно данных в нормативной базе,"['Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
Какие операции по управлению остатками средств на едином счете местного бюджета включают привлечение средств?," Ответ: Недостаточно данных в нормативной базе для точного ответа на вопрос о включении операций по управлению остатками средств на едином счете местного бюджета, которые привлекают средства.","['Жилищный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какие товары Союза могут быть использованы при переработке иностранных товаров?," ""Товары, технологическое оборудование (в том числе комплектующих и запасных частей к нему), аналоги которого не производятся в Российской Федерации, по перечню, утвержденному Правительством Российской Федерации.""","['Уголовный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие требования к оценке результатов конкурентности работников указаны в ГОСТ МДС 80-2.2000?," Недостаточно данных в нормативной базе для ответа на вопрос о требованиях к оценке результатов конкурентности работников указаны в ГОСТ МДС 80-2.2000, так как этот документ касается иного вопроса - методов государственной экспертизы условий труда в Российской Федерации.","['Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какие административные правонарушения имеют срок давности привлечения к ответственности два месяца?," ""Недостаточно данных в нормативной базе, чтобы идентифицировать административные правонарушения с двухмесячным сроком давности привлечения к ответственности""","['Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какие законы регулируют установление транспортного налога?," ""Законы субъектов Российской Федерации о налоге""","['Градостроительный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации']"
"Как долго должен работодатель ждать перед тем, как принять окончательное решение об увольнении?"," В зависимости от случая, работодатель должен ждать следующих сроков:
1. Если увольнение основано на пункте 5 части первой статьи 81 и осуществляется по отношению к работам, указанным в части первой этой же статьи, работодатель должен ждать семи рабочих дней со дня получения проекта приказа и копий документов, являющихся основанием для принятия решения об увольнении (статья 209).
2. Если соответствующий вышестоящий выборный профсоюзный орган не представляет мотивированное мнение в срок, работодатель имеет право принять окончательное решение без учета его мнения (статья 209).
3. В случае отсутствия соответствующего вышестоящего выборного профсоюзного органа или при массовом увольнении работников, работодатель должен давать предупреждение в письменной форме не позднее чем за два месяца до начала проведения соответствующих мероприятий (статья 58).
4. В случае массового увольнения работников, срок предупреждения составляет три месяца (статья 58).","['Трудовой кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
По каким основаниям судья оставляет без движения административное искове заявление о признании нормативного правового акта недействующим?," Судья оставляет без движения административное исковое заявление о признании нормативного правового акта недействующим на основании части 1 статьи 130 настоящего Кодекса в случае несоответствия указанного заявления требованиям, установленным статьей 209 настоящего Кодекса.",['Кодекс административного судопроизводства Российской Федерации']
Какие подотраслевые индексы существуют?, Предельные индексы и индексы по субъектам Российской Федерации в соответствии с законодательством Жилищного кодекса Россиисуществуют.,"['Жилищный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какие предприятия и учреждения охватываются рекомендациями?," Документ: Трудовой кодекс России

Статья: 209

Текст: разрабатывают меры стимулирования деятельности работодателей по улучшению условий и охраны труда работников; ... устанавливают основные требования к порядку разработки и содержанию правил и инструкций по охране труда, разрабатываемых работодателями;

Ответ: Рекомендации касаются деятельности работодателей, относящихся к организациям.","['Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какой стандарт (ГОСТ) регламентирует площадь гранитной брусчатки?," ""Недостаточно данных в нормативной базе""","['Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какие классы материалов представлены в Приложении 5 согласно ГОСТ?," В контексте предоставленном нет сведений о том, что прилагается к какому-либо документу ГОСТ. Сведения о классах материалов могут быть содержаться в разных нормативных актах, таких как ГОСТ (Государственный стандарт Российской Федерации). Для получения точного ответа необходимо иметь конкретное название или номер ГОСТ-а.
В этом случае недостаточно данных в нормативной базе для правильного ответа на заданный вопрос.","['Уголовный кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какие данные необходимы для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд согласно ГОСТ МДС 11-7.2000?," Данные, необходимые для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд согласно ГОСТ МДС 11-7.2000, могут включать сведения об объеме населения или количестве жителей в населенном пункте (для коммунально-бытовых нужд), а также данные о размерах и характере промышленных производств и их требованиях к воде и газу (для промышленных нужд). Однако конкретный список и подробности потребной информации для каждого случая могут быть уточнены в самом ГОСТе МДС 11-7.2000 или его популярных комментариях, которые можно найти на сайте <https://gosstandart.ru/>.","['Жилищный кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какие объекты проектирования указаны в таблице 4 согласно СНиП?," В таблице 4, согласно СНиП (Градостроительный кодекс России), указываются следующие объекты проектирования:
- отдельно стоящие объекты капитального строительства с количеством этажей не более чем два, общая площадь которых составляет не более чем 1500 квадратных метров;
- буровые скважины.","['Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
"Какие иные объекты, территории и зоны отображаются на картах?"," на картах отображаются иные объекты, территории и зоны, которые оказали влияние на определение планируемого размещения объектов регионального значения (в том числе: особые экономические зоны, особо охраняемые природные территории федерального, регионального, местного значения, территории объектов культурного наследия, зоны с особыми условиями использования территорий, территории, подверженные риску возникновения чрезвычайных ситуаций природного и техногенного характера).",['Градостроительный кодекс Российской Федерации']
Какие права имеет юридическое лицо на доступ к материалам дела?," Юридическое лицо имеет право знакомиться с материалами дела, давать объяснения суду в устной и письменной форме, приводить свои доводы по всем возникающим вопросам в ходе судебного разбирательства, получать судебные постановления и их копии на бумажном носителе или в электронном виде, а также обжаловать судебные постановления. Эти права предусмотрены Гражданским процессуальным кодексом России.","['Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
"Что влечет нарушение порядка и (или) сроков передачи налогоплательщиками сведений о произведенных расчетах при реализации товаров (работ, услуг, имущественных прав)?"," Нарушение порядка и (или) сроков передачи налогоплательщиками сведений о произведенных расчетах при реализации товаров (работ, услуг, имущественных прав) влечет взыскание штрафа в размере 20 процентов от суммы такого расчета, но не менее 200 рублей за каждый расчет, сведения о котором не переданы в налоговый орган. (статья 129.15 из Налогового кодекса России)","['Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
