question,answer,source,page
Могут ли собственники установить взнос на капитальный ремонт выше минимального?,"Минимальный размер взноса на капитальный ремонт устанавливается нормативным правовым актом 
субъекта Российской Федерации в соответствии с методическими рекомендациями, утвержденными 
уполномоченным Правительством Российской Федерации федеральным органом исполнительной власти, 
в порядке, установленном законом субъекта Российской Федерации, исходя из занимаемой общей 
площади помещения в многоквартирном доме, принадлежащего собственнику такого помещения, и 
может быть дифференцирован в зависимости от муниципального образования, в котором расположен 
многоквартирный дом, с учетом его типа и этажности, стоимости проведения капитального ремонта 
отдельных элементов строительных конструкций и инженерных систем многоквартирного дома, 
нормативных сроков их эффективной эксплуатации до проведения очередного капитального ремонта 
(нормативных межремонтных сроков), а также с учетом установленного настоящим Кодексом и 
нормативным правовым актом субъекта Российской Федерации перечня работ по капитальному ремонту 
общего имущества в многоквартирном доме.",Жилищный кодекс Российской Федерации.pdf,121
"Какие действия должен предпринять налоговый орган после принятия решения об отказе, приостановлении, возобновлении или аннулировании свидетельства?","Налоговый орган, выдавший (выдающий) свидетельство, обязан уведомить в письменной форме 
организацию об отказе в выдаче свидетельства, о приостановлении его действия, неполном устранении 
нарушений, повлекших за собой приостановление действия свидетельства, о возобновлении действия 
свидетельства или об аннулировании свидетельства в трехдневный срок со дня принятия соответствующего 
решения.",Налоговый кодекс Российской Федерации.pdf,584
Какие телефоны доступны для бесплатной юридической консультации в Москве и Московской области?,"Бесплатная юридическая консультация по телефонам: 
• 8 (499) 938-53-71 (Москва и МО); 
 
• 8 (812) 467-95-28 (Санкт-Петербург и ЛО); 
• 8 (800) 301-92-12 (Регионы РФ).",Градостроительный кодекс Российской Федерации.pdf,265
"Какие решения принимаются о подготовке и реализации бюджетных инвестиций в объекты государственной собственности Российской Федерации, находящиеся в оперативном управлении или хозяйственном ведении федеральных государственных учреждений стоимостью менее 3 миллиардов рублей?","Комментарии к статьям на сайте 
https://budkod.ru/ 
 
 
 
средства, получаемые в виде процентов по остаткам бюджетных средств на счетах в 
Центральном банке Российской Федерации и в кредитных организациях; 
средства, получаемые от передачи имущества, находящегося в государственной или 
муниципальной 
собственности 
(за 
исключением 
имущества 
бюджетных 
и 
автономных 
учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том 
числе казенных, и имущества, переданного в доверительное управление юридическим лицам, 
созданным 
в 
организационно-правовой 
форме 
государственной 
компании), 
в 
залог, 
в 
доверительное управление; 
плата за пользование бюджетными кредитами; 
доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах 
хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской 
Федерации, субъектам Российской Федерации или муниципальным образованиям, за исключением 
случаев, установленных федеральными законами; 
часть прибыли государственных и муниципальных унитарных предприятий, остающаяся 
после уплаты налогов и иных обязательных платежей; 
другие 
предусмотренные 
законодательством 
Российской 
Федерации 
доходы 
от 
использования имущества, находящегося в государственной или муниципальной собственности, за 
исключением 
имущества 
бюджетных 
и 
автономных 
учреждений, 
а 
также 
имущества 
государственных и муниципальных унитарных предприятий, в том числе казенных, земельных 
участков и иных объектов недвижимого имущества, находящихся в федеральной собственности, 
используемых единым институтом развития в жилищной сфере в соответствии с Федеральным 
законом от 24 июля 2008 года N 161-ФЗ ""О содействии развитию жилищного строительства"".",Бюджетный кодекс Российской Федерации.pdf,34
Что происходит с пунктами 3.1 и 4 статьи 183?,"Договор поручительства должен соответствовать следующим требованиям: 
договор поручительства должен быть оформлен в соответствии со статьей 74 настоящего Кодекса и должен 
предусматривать обязанность поручителя уплатить акциз в случае непредставления налогоплательщиком 
документов в порядке и сроки, которые установлены пунктами 7, 7.1, 7.2 статьи 198 настоящего Кодекса, и 
неуплаты налогоплательщиком соответствующей суммы акциза; 
сумма, на которую заключен договор поручительства, должна обеспечивать исполнение обязательства по 
уплате в бюджет в полном объеме суммы акциза, исчисленной в соответствии с пунктом 1 статьи 202 
настоящего Кодекса по операциям, указанным в подпунктах 4, 4.1, 4.2 пункта 1 статьи 183 настоящего 
Кодекса; 
срок действия договора поручительства, предоставляемого в целях освобождения от уплаты акциза при 
совершении операций, предусмотренных подпунктами 4, 4.1, 4.2 пункта 1 статьи 183 настоящего Кодекса, 
должен составлять не менее 10 месяцев со дня истечения установленного срока исполнения 
налогоплательщиком обязанности по уплате акциза, обеспеченной поручительством, и должен быть не 
более одного года со дня заключения договора поручительства.",Налоговый кодекс Российской Федерации.pdf,609
Какие примеры расчета приведенных затрат приведены в разделе «Экономическая оценка» согласно ГОСТ МДС 80-3.2000?,"Пример расчета индекса изменения стоимости строительно-монтажных работ по их видам на основе ресурсно-
индексного метода с использованием ресурсно-технологических моделей на укрупненные виды работ приведен в прил.3 к
настоящим Методическим рекомендациям.",Data1_2_2117_index.pdf,5
Какой ГОСТ определяет стоимость 1 м² общей площади для культурно-бытового строительства?,"Код ресурсно-
технологической
модели (РТМ)
Наименование отраслей народного хозяйства и объектов-представителей
1
2
1.0800.03.10
Крупноблочные 1-этажные дома
1.0800.03.20
Крупноблочные 5-этажные дома
1.0800.03.30
Крупноблочные 10 этажные дома
1.0802.04.00
Деревянные для села
1.0800.04.10
Деревянные 1-этажные дома
1.0800.06.00
Монолитные в целом
1.0801.06.00
Монолитные для города
1.0802.06.00
Монолитные для села
1.0900.00.00
Культурно-бытовое строительство
1.0900.01.00
Коммунальное строительство
01.01
Гостиница вместимостью 300 мест
01.02
Котельная, инженерные сети и очистные сооружения
01.03
Трансформаторная подстанция на 2 х 400 кВт
1.0900.02.00
Наука и научное обслуживание
02.01
Физический институт им.",Data1_2_2080_index.pdf,33
Какие сведения подлежат указанию в декларации на товары в отношении сделки с товарами и ее условий?,"Комментарии к статьям на сайте 
https://tkeaes.ru/ 
 
 
 
интеллектуальной собственности, идентификации, отнесения к одному 10-значному коду Товарной 
номенклатуры внешнеэкономической деятельности; 
код товаров в соответствии с Товарной номенклатурой внешнеэкономической деятельности; 
происхождение товаров; 
наименование страны отправления и страны назначения; 
производитель товаров; 
товарный знак; 
наименование места происхождения товара, являющееся объектом интеллектуальной 
собственности, включенным 
в 
единый 
таможенный 
реестр 
объектов 
интеллектуальной 
собственности 
государств-членов 
и 
(или) 
национальный 
таможенный 
реестр 
объектов 
интеллектуальной собственности, который ведется таможенным органом государства-члена, 
таможенному органу которого подается декларация на товары; 
описание упаковок; 
цена, количество в килограммах (вес брутто и вес нетто) и в дополнительных единицах 
измерения; 
таможенная стоимость товаров (величина, метод определения таможенной стоимости 
товаров); 
статистическая стоимость; 
5) об исчислении таможенных платежей, специальных, антидемпинговых, компенсационных 
пошлин: 
ставки таможенных пошлин, налогов, таможенных сборов, специальных, антидемпинговых, 
компенсационных пошлин; 
льготы по уплате таможенных платежей; 
тарифные преференции; 
суммы исчисленных таможенных пошлин, налогов, таможенных сборов, специальных, 
антидемпинговых, компенсационных пошлин; 
курс валют, применяемый для исчисления таможенных пошлин, налогов, специальных, 
антидемпинговых, компенсационных пошлин в соответствии с настоящим Кодексом; 
6) о сделке с товарами и ее условиях; 
7) о соблюдении запретов и ограничений в соответствии со статьей 7 настоящего Кодекса; 
8) о соблюдении условий помещения товаров под таможенную процедуру; 
9) о документах, подтверждающих сведения, заявленные в декларации на товары, указанных 
в статье 108 настоящего Кодекса; 
10) о документах, подтверждающих соблюдение законодательства государств-членов, 
контроль за соблюдением которого возложен на таможенные органы; 
11) о лице, заполнившем декларацию на товары, и дата ее составления; 
12) иные сведения, определяемые Комиссией.",Таможенный кодекс Евразийского экономического союза.pdf,116
Как определяется сметная стоимость ремонта основных средств?,"Совокупная стоимость основных средств определяется как сумма первоначальной стоимости всех 
амортизируемых основных средств, введенных в эксплуатацию по состоянию на начало налогового 
периода, в котором образуется резерв предстоящих расходов на ремонт основных средств.",Налоговый кодекс Российской Федерации.pdf,1215
Каков расход химически очищенной воды при испытании паровых котлов ДЕ-16-14ГМ по ГОСТ МДС 81-8.2000?,"оборудования (на
2 котла)
1
2
3
4
5
6
7
8
   
Расход
материалов при
испытании
паровых котлов
ДЕ-16-14ГМ 
(2
котла)
 
 
 
 
 
1 Счет
поставщика
Газ
естественный
тыс.",Data1_10_10864_index.pdf,29
Какие права и ответственности разъясняются специалисту?,"В договоре следует, как
правило, предусматривать, на какой объем реализации передается заказчику
авторское право специалиста (автора проекта, держателя «ноу-хау» и др.), а также
указывать на запрещение использовать интеллектуальную собственность в иных, не
предусмотренных соглашением случаях и масштабах.",Data1_10_10851_index.pdf,5
Какие ставки используются для определения платежей по процентам за кредиты банков?,"Прочие расходы (транспортные*, экспедиционные, страховые, уплата процентов за пользование
ссудами банка) определяются в текущих или прогнозных ценах (в зависимости от метода составления
сводного сметного расчета на строительство в смешанных ценах) по соответствующим тарифам и
ставкам (без НДС и специального налога).",Data1_2_2082_index.pdf,8
"Что делать водителю, если документы о ДТП не могут быть оформлены без участия сотрудников полиции?","Иметь при себе и по требованию сотрудников полиции передавать им, для проверки: 
водительское 
удостоверение 
или 
временное 
разрешение 
на 
право 
управления 
транспортным средством соответствующей категории или подкатегории; 
регистрационные документы на данное транспортное средство (кроме мопедов), а при 
наличии прицепа - и на прицеп (кроме прицепов к мопедам); 
в установленных случаях разрешение на осуществление деятельности по перевозке 
пассажиров и багажа легковым такси, путевой лист, лицензионную карточку и документы на 
перевозимый груз (транспортная накладная, заказ-наряд, сопроводительная ведомость, которые 
могут быть представлены на бумажном носителе, либо в форме электронного документа, либо его 
копии на бумажном носителе), а также специальные разрешения, при наличии которых в 
соответствии с законодательством об автомобильных дорогах и о дорожной деятельности 
допускается движение по автомобильным дорогам тяжеловесного транспортного средства, 
крупногабаритного транспортного средства либо транспортного средства, осуществляющего 
перевозки опасных грузов; 
документ, подтверждающий факт установления инвалидности, в случае управления 
транспортным средством, на котором установлен опознавательный знак ""Инвалид""; 
абзац утратил силу с 2 января 2020 г.",ПДД Российской Федерации.pdf,6
Какие данные должны содержаться в сводке объемов и стоимости подрядных работ согласно ГОСТ МДС 81-10.2000?,"ГОССТРОЙ РОССИИ
М Е Т О Д И Ч Е С К И Е  Р Е К О М Е Н Д А Ц И И
ПО РАЗРАБОТКЕ
ТЕХНИЧЕСКОЙ ЧАСТИ
ТЕНДЕРНОЙ ДОКУМЕНТАЦИИ
И ОФЕРТЫ ПРЕТЕНДЕНТА
МДС-80-8.2000
МОСКВА 2000
Методические 
рекомендации 
по 
разработке 
технической 
части 
тендерной 
документации
предназначены 
для 
всех 
субъектов 
инвестиционной 
деятельности: 
заказчиков 
(инвесторов),
организаторов торгов, тендерных комитетов всех уровней, подрядных и субподрядных организаций,
представленных в качестве претендентов и оферентов, консалтинговых, инженерно-консультационных,
финансовых, страховых и иных организаций, в том числе иностранных партнеров, участвующих в
подрядных торгах на территории Российской Федерации, а также университетов и институтов
повышения квалификации руководящих работников и специалистов организаций вне зависимости от
видов и форм собственности.",Data1_10_10865_index.pdf,1
Какие меры наказания управляющего проекта за неудачное управление конкурентностью работников указаны в ГОСТ МДС 80-2.2000?,"Наличие конкуренции между работниками внутри проектного института
означает, что созданы такие организационные, экономические и социальные условия,
которые позволяют директору института, управляющему проектом (ГИПу, ГАПу) и
начальнику основного проектного отдела (мастерской) принимать решения о том,
кому поручить выполнение работы, за какую цену и в какие сроки на конкурентной
основе, т.е.",Data1_10_10872_index.pdf,3
Какие показатели включены в информацию о жилых кварталах и микрорайонах согласно ГОСТ МДС 11-7.2000?,"ПРИЛОЖЕНИЕ 14
ОСНОВНЫЕ ТЕХНИКО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ ПРОЕКТА
ДЕТАЛЬНОЙ ПЛАНИРОВКИ
Показатель
Единица измерения
Территория
Территория в границе проекта (всего)
га
в том числе:
 
жилые кварталы, микрорайоны
га/м2/чел
из них:
 
многоэтажной застройки
-""-
индивидуальной застройки
-""-
участки учреждений и предприятий обслуживания (кроме микрорайонного
значения)
-""-
территории общего пользования
-""-
из них:",Data1_1_1904_index.pdf,41
В какие сроки должен быть направлен запрос о подтверждении выполнения соглашения?,"Выдача лица может быть произведена в случаях: 
1) если уголовный закон предусматривает за совершение этих деяний наказание в виде лишения свободы 
на срок свыше одного года или более тяжкое наказание, когда выдача лица производится для уголовного 
преследования; 
2) если лицо, в отношении которого направлен запрос о выдаче, осуждено к лишению свободы на срок не 
менее шести месяцев или к более тяжкому наказанию; 
3) когда иностранное государство, направившее запрос, может гарантировать, что лицо, в отношении 
которого направлен запрос о выдаче, будет преследоваться только за преступление, которое указано в 
запросе, и после окончания судебного разбирательства и отбытия наказания сможет свободно покинуть 
территорию данного государства, а также не будет выслано, передано либо выдано третьему государству 
без согласия Российской Федерации.",Уголовно-процессуальный кодекс Российской Федерации.pdf,292
Какие размеры площадки для мини-волейбола указаны для детей 9 - 12 лет согласно ГОСТ МДС 35-7.2000?,"Площадка для детей от 2 до 4 - 5 лет:
1 - фонтанчик с отводными коробами; 2 - песочница со скамьями по периметру; 3 - теневой навес; 4 -
горка-лабиринт; 5 - горка-манеж с пологой лестницей; 6 - столики-барьеры; 7 - деревянная
стилизованная «лошадь»; 8 - качели; 9 - качалки; 10 - бревна для упражнений на равновесие; 11 - стенки
для рисования; 12 - корзина для забрасывания мяча; 13 - шест для набрасывания колец; 14 - паровоз; 15
- двойная горка; 16 - «рыба-кит» - горка для скатывания; рукоход; наклонные лестницы; 17 - карусель;
18 - площадка для игры в крокет",Data1_10_10847_index.pdf,13
Какие регионы освобождаются от уплаты налога на прибыль?,"Освободить
предприятия,
находящиеся
(передислоцированные)
в регионах,
пострадавших от
радиоактивного
загрязнения вследствие
чернобыльской и других
радиационных
катастроф, от уплаты
налога на прибыль,
полученную ими от
выполнения проектно-
конструкторских,",Data1_2_2070_index.pdf,11
Какие основания существуют для отказа в открытии лицевого счета участнику казначейского сопровождения?,"Комментарии к статьям на сайте 
https://budkod.ru/ 
 
 
 
единый счет бюджета - казначейский счет (совокупность казначейских счетов для 
федерального 
бюджета, 
бюджетов 
государственных 
внебюджетных 
фондов 
Российской 
Федерации), открытый (открытых) в Федеральном казначействе отдельно по каждому бюджету 
бюджетной системы Российской Федерации для осуществления и отражения операций с 
денежными средствами по поступлениям в бюджет и перечислениям из бюджета; 
казначейское обслуживание - проведение Федеральным казначейством в системе 
казначейских платежей операций участников системы казначейских платежей с денежными 
средствами с их отражением на соответствующих казначейских счетах; 
бюджетный мониторинг в системе казначейских платежей - деятельность Федерального 
казначейства по своевременному предупреждению и предотвращению финансовых нарушений 
участников системы казначейских платежей; 
участник 
казначейского 
сопровождения 
- 
юридическое 
лицо, 
индивидуальный 
предприниматель, физическое лицо - производитель товаров, работ, услуг, получающие средства, 
определенные в соответствии со статьями 242.25 и 242.26 настоящего Кодекса, использование 
которых осуществляется после подтверждения на соответствие условиям и (или) целям, 
установленным при предоставлении средств; 
казначейское сопровождение - проведение Федеральным казначейством (финансовыми 
органами субъектов Российской Федерации (муниципальных образований) операций с денежными 
средствами участника казначейского сопровождения; 
государственные (муниципальные) услуги (работы) - услуги (работы), оказываемые 
(выполняемые) 
органами 
государственной 
власти 
(органами 
местного 
самоуправления), 
государственными 
(муниципальными) 
учреждениями 
и 
в 
случаях, 
установленных 
законодательством Российской Федерации, иными юридическими лицами; 
государственное (муниципальное) задание - документ, устанавливающий требования к 
составу, качеству и (или) объему (содержанию), условиям, порядку и результатам оказания 
государственных (муниципальных) услуг (выполнения работ); 
бюджетные инвестиции - бюджетные средства, направляемые на создание или увеличение 
за счет средств бюджета стоимости государственного (муниципального) имущества; 
налоговые расходы публично-правового образования - выпадающие доходы бюджетов 
бюджетной 
системы 
Российской 
Федерации, 
обусловленные 
налоговыми 
льготами, 
освобождениями и иными преференциями по налогам, сборам, таможенным платежам, страховым 
взносам на обязательное 
социальное 
страхование, 
предусмотренными 
в 
качестве мер 
государственной (муниципальной) поддержки в соответствии с целями государственных 
(муниципальных) программ и (или) целями социально-экономической политики публично-
правового образования, не относящимися к государственным (муниципальным) программам; 
финансовые органы - Министерство финансов Российской Федерации, органы 
исполнительной власти субъектов Российской Федерации, осуществляющие составление и 
организацию исполнения бюджетов субъектов Российской Федерации (финансовые органы 
субъектов Российской Федерации), органы (должностные лица) местных администраций 
муниципальных образований, осуществляющие составление и организацию исполнения местных 
бюджетов (финансовые органы муниципальных образований); 
главный распорядитель бюджетных средств (главный распорядитель средств 
соответствующего бюджета) - орган государственной власти (государственный орган), орган 
управления государственным внебюджетным фондом, орган местного самоуправления, орган 
местной администрации, а также наиболее значимое учреждение науки, образования, культуры и",Бюджетный кодекс Российской Федерации.pdf,5
Какие нормы СНиП регулируют использование товарного раствора?,"При отсутствии укрупненных нормативов или объектов-аналогов определение стоимости во внутренних (базисных) ценах Российской
Федерации производится:
по строительно-монтажным работам - на основании объемов основных строительных и монтажных работ, определенных в ТЭО или ТЭП, с
использованием “Сметных норм и расценок на стромительные работы” (СНиР-91) и “Расценок на монтаж оборудования” (СНиП 4.06-91), а
остальных строительно-монтажных работ - в процентах к стоимости основных работ, определяемых расчетом проектной организации;*
по оборудованию - по приводимым в составе ТЭО или ТЭП спецификациям на основное оборудование** или укрупненным показателям
стоимости этого оборудования, а по остальному оборудованию - в процентах к стоимости основного оборудования, определяемых расчетом
проектной организации*.",Data1_2_2069_index.pdf,4
Какие сроки и процедуры заключения соглашений о недопущении конкуренции описаны в ГОСТ МДС 80-2.2000?,"________________________________                   ________________________________
дата                                                                                          дата
ПРИЛОЖЕНИЕ 2
СОГЛАШЕНИЕ
о недопущении конкуренции со стороны работника
Форма 1
При поступлении на работу по найму в
___________________________________________________________________________
наименование организации
я, нижеподписавший(ая)ся, обязуюсь по окончании срока найма и независимо от
причин его окончания не конкурировать с организацией, а также с ее преемниками и
правопреемниками.",Data1_10_10872_index.pdf,8
Какие меры рекомендованы для предотвращения попадания конденсата на перекрытия через стыки канализационных стояков согласно ГОСТ МДС 17-13.2000?,"При передаче точек разбивочной сети на этажи здания, сооружения методом
вертикального проектирования отверстия в перекрытиях должны быть ограждены
таким образом, чтобы исключить возможность попадания в них строительного мусора и
других предметов.",Data1_11_11285_index.pdf,77
Что может требовать правообладатель в случае незаконного использования товарного знака?,"Для целей настоящей статьи использованием товарного знака признается его использование 
правообладателем или лицом, которому такое право предоставлено на основании лицензионного 
договора в соответствии со статьей 1489 настоящего Кодекса, либо другим лицом, осуществляющим 
использование товарного знака под контролем правообладателя, при условии, что использование 
товарного знака осуществляется в соответствии с пунктом 2 статьи 1484 настоящего Кодекса, за 
исключением случаев, когда соответствующие действия не связаны непосредственно с введением товара в 
гражданский оборот, а также использование товарного знака с изменением его отдельных элементов, не 
меняющим существа товарного знака и не ограничивающим охрану, предоставленную товарному знаку.",Гражданский кодекс Российской Федерации.pdf,631
Какие значения коэффициентов ψa и ψb приведены в таблице 8 согласно СНиП 3.01.03-84?,"5 мг/м3 пыли, дыма и
копоти
Агломерационные фабрики, цементные
заводы и обрубные отделения литейных
цехов
2,0
1,8
1,7
1,5
4
б) от 1 до 5 мг/м3 пыли, дыма
и копоти
Цехи 
кузнечные, 
литейные,
мартеновские, сборного железобетона
1,8
1,6
1,5
1,4
3
в) менее 1 мг/м3 пыли, дыма и
копоти
Цехи инструментальные, сборочные,
механические, 
механосборочные,
пошивочные
1,6
1,5
1,4
1,3
2
г) значительные концентрации
паров, кислот, щелочей, газов,
способных при соприкосновении
с влагой образовывать слабые
растворы 
кислот, 
щелочей, 
а
также 
обладающих 
большой
корродирующей способностью
Цехи химических заводов по выработке
кислот, щелочей, едких химических
реактивов, ядохимикатов, удобрений,
цехи 
гальванических 
покрытий 
и
различных отраслей промышленности с
применением электролиза
2,0
1,8
1,7
1,5
3
П р и м е ч а н и е  - При применении узорчатого стекла значения коэффициента запаса следует умножать на 1,1.",Data1_10_10846_index.pdf,33
Какие телефонные номера доступны для бесплатной юридической консультации в регионах России?,"Бесплатная юридическая консультация по телефонам: 
• 8 (499) 938-53-71 (Москва и МО); 
 
• 8 (812) 467-95-28 (Санкт-Петербург и ЛО); 
• 8 (800) 301-92-12 (Регионы РФ).",Административный кодекс Российской Федерации.pdf,347
Какие меры предусмотрены для ликвидации волосяных трещин в стенах согласно ГОСТ МДС 13-18.2000?,"Для наклейки плиток
можно применять мастики
битумно-силикатную,
известковолатексную,
цементно-
поливинилацетатную, слой
мастики 2 - 3 мм
СНиП 2.08.01-89 Выявлены промерзания
стен, наледь вдоль
Влажность материалов по
СНиП II-3-79** 1991 г.:
Устранить причины
увлажнения, привести в",Data1_10_10861_index.pdf,16
Какие рекомендации по расчету материальных затрат и прочих расходов даны в ГОСТ МДС 81-7.2000?,"П Р И Л ОЖ Е Н И Е  1
ПЕРЕЧЕНЬ НОРМАТИВНО-МЕТОДИЧЕСКИХ ДОКУМЕНТОВ,
ИСПОЛЬЗУЕМЫХ ПРИ СОСТАВЛЕНИИ СМЕТ НА ПУСКОНАЛАДОЧНЫЕ
РАБОТЫ БАЗИСНО-ИНДЕКСНЫМ И РЕСУРСНЫМ МЕТОДАМИ
(по состоянию на 01.01.97 г.)
№
п/п
Наименование документа
Данные о введении в
действие
1
2
3
1
Свод правил по определению стоимости строительства в составе
предпроектной и проектно-сметной документации (СП 81-01-94)
Письмо Минстроя России от
29.12.94 № ВБ-12-276
2
Порядок 
определения 
стоимости 
строительства 
и 
свободных
(договорных) цен на строительную продукцию в условиях развития
рыночных отношений
Письмо Госстроя России от
29.12.93 № 12-349
3
Методические 
рекомендации 
по 
определению 
стоимости
строительства и свободных (договорных) цен на строительную
продукцию в условиях развития рыночных отношений
Письмо Минстроя России от
10.11.92 № БФ-926/12
4
Методические основы определения потребности в материалах,
конструкциях и изделиях в составе рабочей документации на
строительство
Письмо Минстроя России от
18.11.92 № БФ-958/12
5
Методические рекомендации по расчету величины накладных
расходов при определении стоимости строительной продукции
Письмо Минстроя России от
30.10.92 № БФ-907/12
6
Методические рекомендации по определению величины сметной
прибыли при формировании свободных цен на строительную
продукцию
Письмо Минстроя России от
30.10.92 № БФ-906/12
7
Методические рекомендации по определению затрат на строительство
временных зданий и сооружений, дополнительных затрат при
производстве строительно-монтажных работ в зимнее время, затрат на
содержание заказчика-застройщика и технического надзора, прочих
работ и затрат при определении стоимости строительной продукции
Письмо Минстроя России от
03.11.92 № БФ-925/12",Data1_10_10864_index.pdf,13
