question,answer,source,page
Какие технические задания предусмотрены в Методических рекомендациях по определению сметной стоимости строительства на базе показателей на отдельные виды работ (ПВР) согласно ГОСТ МДС 81-10.2000?,"ГОСУДАРСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ
ПО ВОПРОСАМ АРХИТЕКТУРЫ И СТРОИТЕЛЬСТВА
(ГОССТРОЙ РОССИИ)
МЕТОДИЧЕСКИЕ РЕКОМЕНДАЦИИ
по определению сметной стоимости строительства
на базе показателей на отдельные виды работ (ПВР)
МДС 81-10.2000
Москва 1993
СОДЕРЖАНИЕ
1.",Data1_2_2076_index.pdf,1
"Как устраняются неплотности в резьбовых соединениях, согласно ГОСТ МДС 13-18.2000?","МИНСТРОЙ РОССИИ
МЕТОДИЧЕСКИЕ РЕКОМЕНДАЦИИ
ПО ПРОЦЕДУРЕ ПОДРЯДНЫХ ТОРГОВ
МДС 80-6.2000
МОСКВА 1997
РАЗРАБОТАНЫ АО «ЦНИИпроект» (канд.",Data1_10_10866_index.pdf,1
Какие меры следует принять для предотвращения увлажнения и промерзания цоколя согласно ГОСТ МДС 13-18.2000?,"Ослабление
крепления выступающих
деталей (карнизов,
балконов, поясков,
кронштейнов, розеток, тяг и
др.)
Не допускается
При появлении нарушений
следует принять охранные
меры по предотвращению
несчастных случаев.",Data1_10_10861_index.pdf,16
Какие размеры шкафчиков для хранения одежды должны быть в пределах досягаемости инвалидами согласно ГОСТ МДС 35-7.2000?,"Шкафчики для хранения
одежды должны быть в пределах досягаемости инвалидами разного возраста - от 300
до 1100 мм от пола.",Data1_10_10847_index.pdf,33
"Какие требования предъявляются к местным источникам отопления (печи, АГВ, ВНИИСТО и др.) согласно ГОСТ МДС 13-18.2000?","6
Входные двери и подъезды, оконные заполнения на лестничных
клетках и в квартирах (дата и номер акта сдачи)
 
 
7
Доводчики на входных дверях и лестничных клетках и
запирающие устройства (дата и номер акта сдачи)
 
 
8
Техподполье, подвальные помещения, состояние продухов,
установка регулируемых решеток, изоляция трубопроводов
Входные двери и другие работы по приведению в соответствие с
требованиями «Правил безопасности в газовом хозяйстве» (дата
и номер акта сдачи), ограждения приямков в подвалах и ЦТП
 
 
9
Внутридомовая система отопления (указать дату и номер акта
сдачи теплоснабжающей организации)
 
 
10
Помещение и оборудование местного теплового узла
 
 
11
Централизованный источник теплоснабжения (ЦТП, газ и
угольная котельная)
 
 
12
Местные источники отопления (печи, АГВ, ВНИИСТО и др.)
 
 
13
Водопроводно-канализационная 
система 
(исправность,
утепленность, дата и номер акта сдачи)
 
 
14
Электрохозяйство (дата и номер акта сдачи)
 
 
15
Дымоходы, вентиляционные каналы (дата и номер акта)
 
 
16
Отмостки.",Data1_10_10852_index.pdf,37
"Какие требования предъявляет ГОСТ к качеству железобетонных изделий, используемых в строительстве?","Современные строительные нормы и правила предъявляют высокие требования к микроклимату в
помещениях зданий и сооружений.",Data1_10_10846_index.pdf,2
Какие действия предполагаются при устранении отдельных свищей в стенах проходных каналах и заделке отдельных выпадающих кирпичей согласно ГОСТ МДС 14-13.2000?,"Устранение отдельных свищей в стенах проходных каналах и заделка отдельных выпадающих
кирпичей.",Data1_1_1879_index.pdf,21
"Что означает передача товаров подрядчику (субподрядчику) или иному лицу, которые будут осуществлять строительные и (или) монтажные подрядные работы на территории свободного склада?","Допускается передача товаров, помещенных под таможенную процедуру свободного 
склада, и (или) товаров, изготовленных (полученных) из товаров, помещенных под таможенную 
процедуру свободного склада, без завершения действия таможенной процедуры свободного склада 
во владение и (или) пользование: 
1) подрядчику (субподрядчику) или иному лицу, которые будут осуществлять строительные 
и (или) монтажные подрядные работы на территории свободного склада;",Таможенный кодекс Евразийского экономического союза.pdf,245
Какие методы уравнивания геодезических сетей существуют согласно СНиП 3.01.03-84?,Точность разбивки назначается по СНиП 3.01.03-84 (табл.,Data1_11_11285_index.pdf,17
Что такое код главного администратора доходов бюджета?,"Код классификации доходов бюджетов Российской Федерации состоит из: 
1) кода главного администратора доходов бюджета; 
2) кода вида доходов; 
3) кода подвида доходов; 
4) утратил силу.",Бюджетный кодекс Российской Федерации.pdf,16
Как сравнивается сумма резерва по сомнительным долгам с суммой остатка резерва?,"Сумма резерва по сомнительным долгам, исчисленного на отчетную дату по правилам, установленным 
пунктом 4 настоящей статьи, сравнивается с суммой остатка резерва, который определяется как разница 
между суммой резерва, исчисленного на предыдущую отчетную дату по правилам, установленным пунктом 
4 настоящей статьи, и суммой безнадежных долгов, возникших после предыдущей отчетной даты.",Налоговый кодекс Российской Федерации.pdf,989
"Что происходит с юридическими лицами, созданными в результате реорганизации, если они недобросовестно способствовали принятию решения о реорганизации?","Комментарии к статьям на сайте 
https://gkodeksrf.ru/ 
  
 
недобросовестно способствовавшими принятию решения о реорганизации, отвечают юридические лица, 
созданные в результате реорганизации на основании указанного решения.",Гражданский кодекс Российской Федерации.pdf,32
Какую ответственность несет саморегулируемая организация по обязательствам своих членов в рамках компенсационного фонда обеспечения договорных обязательств?,"Саморегулируемая организация в пределах средств компенсационного фонда обеспечения договорных 
обязательств несет субсидиарную ответственность по обязательствам своих членов в случаях, 
предусмотренных статьей 60.1 настоящего Кодекса.",Градостроительный кодекс Российской Федерации.pdf,213
Какие значения указаны в столбце 'Остановочные пункты и павильоны' для обычных трамвайных линий в таблице 37 согласно СНиП?,"ПРИЛОЖЕНИЕ 3
ТЕМПЕРАТУРА НАРУЖНОГО ВОЗДУХА И СКОРОСТЬ ВЕТРА В ГЕОГРАФИЧЕСКИХ ПУНКТАХ
РОССИИ
(согласно СНиП 23-01-99)",Data1_10_10846_index.pdf,21
Что определяет порядок укомплектования буксируемого объекта экипажем?,"Порядок 
укомплектования буксируемого объекта экипажем или проводниками определяется соглашением 
сторон, если иное не предусмотрено правилами буксировки.",Кодекс внутреннего водного транспорта Российской Федерации.pdf,52
Что такое ответственные хранители и заемщики материальных ценностей?,"При реализации материальных ценностей, приобретенных ответственными хранителями и заемщиками 
материальных ценностей государственного материального резерва при выпуске материальных ценностей 
из государственного материального резерва в связи с их освежением, заменой и в порядке заимствования в 
соответствии с Федеральным законом от 29 декабря 1994 года N 79-ФЗ ""О государственном материальном 
резерве"", налоговая база определяется как положительная разница между ценой реализуемых 
материальных ценностей, определяемой в соответствии со статьей 105.3 настоящего Кодекса, с учетом 
налога и ценой приобретения указанных материальных ценностей.",Налоговый кодекс Российской Федерации.pdf,435
Какое основание для проектирования должно быть указано в задании согласно ГОСТ МДС 11-7.2000?,"11; другие характеристики закрепленных грунтов определяют согласно действующим нормам и пособиям
(руководствам) на изыскания и проектирование оснований и фундаментов сооружений и соответствующим ГОСТам.",Data1_11_11295_index.pdf,26
"Какие сведения о местоположении, площади и границах территории комплексного развития должны быть включены в договор?","Условиями соглашения являются: 
1) сведения о границах территории (в том числе кадастровые номера земельных участков (при наличии), их 
площадь, местоположение, перечень расположенных на них объектов недвижимого имущества), в 
отношении которой предполагается осуществление комплексного развития территории по инициативе 
правообладателей;",Градостроительный кодекс Российской Федерации.pdf,307
Что вправе совершать представитель иностранного государства от имени представляемого им иностранного государства?,"Представитель иностранного государства вправе совершать от имени представляемого им иностранного 
государства все процессуальные действия, за исключением действий, указанных в части четвертой 
настоящей статьи, если иное не предусмотрено в доверенности или ином соответствующем документе, 
выданном представляемым иностранным государством.",Гражданский процессуальный кодекс Российской Федерации.pdf,172
"Какой документ должен быть утвержден при согласовании затрат российских организаций в смешанных ценах, согласно ГОСТ МДС 81-21.2000?","При отсутствии
утвержденных 
ГЭСН 
допускается 
использование 
иных 
нормативных
документов Госстроя России, утвержденных в установленном порядке.",Data1_10_10848_index.pdf,3
Можно ли применять территориальные единичные расценки других регионов на территории субъекта Российской Федерации?,"Применение территориальных единичных расценок других регионов на территории
субъекта Российской Федерации не допускается.",Data1_10_10754_index.pdf,14
Какие права переходят к страховщику при страховании имущества в полной стоимости?,"В указанных случаях к страховщику переходят: 
все права на застрахованное имущество при страховании имущества в полной стоимости; 
права на долю застрахованного имущества пропорционально отношению страховой суммы 
к страховой стоимости при страховании имущества не в полной стоимости.",Кодекс торгового мореплавания Российской Федерации.pdf,88
Какова пеня за несвоевременное внесение платы за пользование водным объектом?,"Пеня начисляется за каждый календарный день 
просрочки исполнения обязанности по внесению водопользователем платы за пользование водным 
объектом начиная со следующего за определенным в договоре водопользования днем внесения 
платы за пользование водным объектом.",Водный кодекс Российской Федерации.pdf,10
Какова минимальная высота гидроизоляции на фундаменте относительно уровня отмостки согласно СНиП 2.04.02-84?,"Слой гидроизоляции на
фундаменте должен быть
ниже уровня отмостки.",Data1_10_10861_index.pdf,15
Как определяются расходы на изготовление или приобретение материалов и расходы на производство?,"При определении таможенной стоимости ввозимых товаров в соответствии с настоящей 
статьей в качестве основы принимается расчетная стоимость товаров, которая определяется путем 
сложения: 
1) расходов на изготовление или приобретение материалов и расходов на производство, а 
также на иные операции, связанные с производством оцениваемых товаров; 
2) суммы прибыли и общих расходов (коммерческих и управленческих расходов), 
эквивалентной той величине, которая обычно учитывается при продажах товаров того же класса 
или вида, что и оцениваемые товары, в стране, в которой товары были проданы для вывоза на 
таможенную территорию Союза; 
3) расходов, указанных в подпунктах 4 -6 пункта 1 статьи 40 настоящего Кодекса.",Таможенный кодекс Евразийского экономического союза.pdf,45
Какие технологии геодезических выверок и контроля строительно-монтажных работ разрабатываются согласно СНиП 3.01.03-84?,"Пособие по производству геодезических работ в строительстве (к СНиП 3.01.03-84) /
ЦНИИОМТП.",Data1_11_11285_index.pdf,1
Как определяется количество исходного раствора закрепляющего реагента для приготовления раствора рабочей концентрации согласно ГОСТ (к СНиП 3.02.01-83)?,Согласно главе СНиП 3.02.01-83 (разд.,Data1_11_11295_index.pdf,25
Какие меры следует предпринять при недогреве или непрогреве отдельных отопительных приборов согласно СНиП 2.08.01-85?,"Работы, связанные
с ремонтом или заменой отдельных
элементов в период подготовки
здания к эксплуатации в зимний
период
ПН-5-8
СНиП
2.08.01-
85
Недогрев или
непрогрев отдельных
стояков системы,
температура воды,
выходящей из стояка,
ниже расчетной по
графику
качественного
регулирования
То же
Регулировка или замена крана,
устранение воздушных пробок
ПН-5-8
СНиП
2.08.01-
85
Недогрев или
непрогрев отдельных
отопительных
приборов,
температура воды,
выходящей из стояка,
ниже расчетной по
графику
качественного
регулирования
То же
Устранение засоров приборов
контруклонов, мешков и горбов на
подводках; разборка и проверка
соединений сгонов и труб с кранами
ПН-5-8
СНиП
2.08.01-
85
Недостаточная
теплоотдача
отдельного
нагревательного
прибора, температура
воды, выходящей из
стояка, ниже
расчетной по графику
качественного
регулирования
То же
Устранить повреждения или
заменить отопительные приборы
(снятие ребер конвектора, выбитых
ребер ребристых труб).",Data1_10_10861_index.pdf,30
"Какой штраф налагается на должностных лиц за непредставление информации для ведения реестра владельцев ценных бумаг хозяйственным обществом, имеющим стратегическое значение для оборонно-промышленного комплекса и безопасности Российской Федерации?","Непредставление хозяйственным обществом, имеющим стратегическое значение для оборонно-
промышленного комплекса и безопасности Российской Федерации, или обществом, находящимся под 
прямым или косвенным контролем указанного хозяйственного общества, информации, необходимой для 
ведения реестра владельцев ценных бумаг таких обществ лицом, имеющим лицензию на осуществление 
деятельности по ведению реестра владельцев ценных бумаг и соответствующим требованиям, 
установленным Федеральным законом от 21 июля 2014 года N 213-ФЗ ""Об открытии банковских счетов и 
аккредитивов, о заключении договоров банковского вклада, договора на ведение реестра владельцев 
ценных бумаг хозяйственными обществами, имеющими стратегическое значение для оборонно-
промышленного комплекса и безопасности Российской Федерации, и внесении изменений в отдельные 
законодательные акты Российской Федерации"", - 
влечет наложение административного штрафа на должностных лиц в размере от тридцати тысяч до 
пятидесяти тысяч рублей или дисквалификацию на срок от одного года до двух лет; на юридических лиц - 
от семисот тысяч до одного миллиона рублей.",Административный кодекс Российской Федерации.pdf,321
"Какие доходы по договорам займа, привлеченным для финансирования добычи углеводородного сырья, включаются в налоговую базу?","Комментарии к статьям на сайте
https://nkodeksrf.ru/
углеводородного сырья, и организацией - оператором указанного нового морского месторождения 
углеводородного сырья; 
5) доход от реализации амортизируемого имущества, ранее непосредственно использовавшегося при 
осуществлении деятельности, связанной с добычей углеводородного сырья на новом морском 
месторождении углеводородного сырья, определяемый в соответствии со статьей 249 настоящего Кодекса; 
6) доходы в виде процентов, полученных по договорам займа, в случае, если соответствующие заемные 
средства были предоставлены налогоплательщику, указанному в пункте 1 статьи 275.2 настоящего Кодекса, 
для финансирования деятельности, связанной с добычей углеводородного сырья на новом морском 
месторождении углеводородного сырья, в отношении которого определяется налоговая база; 
7) доходы в виде сумм кредиторской задолженности по займам, кредитам и другим долговым 
обязательствам (включая задолженность по уплате процентов), списанной в связи с прощением долга либо 
по иным основаниям, если соответствующие заемные средства были привлечены для финансирования 
деятельности, связанной с добычей углеводородного сырья на новом морском месторождении 
углеводородного сырья; 
8) доходы от сдачи имущества (включая земельные участки) в аренду (субаренду), предусмотренные 
пунктом 4 части второй статьи 250 настоящего Кодекса, по договорам, заключенным между 
налогоплательщиками, указанными в пункте 1 статьи 275.2 настоящего Кодекса, осуществляющими 
деятельность, связанную с добычей углеводородного сырья на новом морском месторождении 
углеводородного сырья, в отношении одного и того же месторождения при условии, что указанное 
имущество использовалось в отчетном (налоговом) периоде при осуществлении деятельности, связанной с 
добычей углеводородного сырья на указанном новом морском месторождении углеводородного сырья; 
9) доходы в виде положительной курсовой разницы, возникающей от переоценки требований 
(обязательств), за исключением переоценки выданных (полученных) авансов, включая задолженность по 
уплате процентов, если соответствующие требования (обязательства) возникли в связи с осуществлением 
деятельности, связанной с добычей углеводородного сырья на новом морском месторождении 
углеводородного сырья.",Налоговый кодекс Российской Федерации.pdf,1158
Что происходит с неправильно удержанными суммами за причиненный материальный ущерб?,"Неправильно удержанные суммы за причиненный материальный ущерб подлежат 
возврату осужденному с зачислением на его лицевой счет.",Уголовно-исполнительный кодекс Российской Федерации.pdf,61
Какие работы по земляному полотну подъездных и внутризаводских железнодорожных путей предусмотрены в ГОСТ МДС 14-13.2000?,"Подъездные и внутризаводские железнодорожные пути
а) Земляное полотно
1.",Data1_1_1879_index.pdf,30
Какие условия освобождают от уголовной ответственности за участие в подготовке террористического акта?,"Лицо, участвовавшее в подготовке террористического акта, освобождается от уголовной 
ответственности, если оно своевременным предупреждением органов власти или иным способом 
способствовало предотвращению осуществления террористического акта и если в действиях этого лица не 
содержится иного состава преступления.",Уголовный кодекс Российской Федерации.pdf,145
По состоянию на какую дату включены законодательные акты по налогообложению в пособие по учету налогов в сметной документации на строительство?,"В данное пособие включены законодательные акты по налогообложению, действующие на территории
Российской Федерации по состоянию на 1 мая 1994 г.",Data1_2_2070_index.pdf,1
В какие сроки должно быть составлено мотивированное решение суда по делу о публичном мероприятии?,"Если по окончании судебного разбирательства по 
административному делу об оспаривании решения, действия (бездействия) органа, организации, 
лица, наделенных государственными или иными публичными полномочиями, связанному с 
проведением 
публичного 
мероприятия 
(собрания, 
митинга, 
демонстрации, 
шествия, 
пикетирования), в судебном заседании объявлена только резолютивная часть решения суда, 
мотивированное решение суда об отказе в удовлетворении соответствующего административного 
иска должно быть составлено судом в день принятия данного решения в возможно короткие сроки 
после окончания судебного заседания.",Кодекс административного судопроизводства Российской Федерации.pdf,124
"Какие основные нормативные требования по использованию, содержанию и ремонту жилищного фонда приведены в МДС 17-13.2000?","ПАМФИЛОВА)
МЕТОДИЧЕСКИЕ РЕКОМЕНДАЦИИ
ПО ЛИКВИДАЦИИ НАРУШЕНИЙ
В СОДЕРЖАНИИ И ИСПОЛЬЗОВАНИИ
ЖИЛИЩНОГО ФОНДА
И ПРИДОМОВЫХ ТЕРРИТОРИЙ
МДС 13-17.2000
УТВЕРЖДЕНЫ
приказом директора Департамента
жилищно-коммунального хозяйства
Министерства строительства Российской Федерации
29 марта 1995 г.",Data1_10_10861_index.pdf,1
"Какая сумма налогового вычета применяется, если организация реализует проекты по созданию новых производственных мощностей по переработке этана и сжиженных углеводородных газов?","При добыче нефти на участках недр, расположенных полностью или частично в границах Иркутской 
области, налогоплательщиком, реализующим (в том числе через прямое участие в дочернем 
хозяйственном обществе, непосредственно реализующем проект) по состоянию на 1 января 2021 года в 
Иркутской области проект по созданию новых производственных мощностей по переработке этана и (или) 
сжиженных углеводородных газов в товары, являющиеся продукцией нефтехимии, сумма налогового 
вычета за налоговый период (
), выраженная в миллионах рублей, определяется в совокупности 
по указанным в настоящем пункте участкам недр и принимается равной 5000 миллионов рублей, но не 
более суммы исчисленного налога за соответствующий налоговый период.",Налоговый кодекс Российской Федерации.pdf,1457
В каких случаях разрабатываются ФЕРм на монтажные работы с применением импортных машин и материалов?,"ФЕРм на монтажные работы, выполняемые с применением импортных
строительных машин и с использованием импортных строительных материалов,
разрабатываются только в тех случаях, когда применяемые импортные машины и
материалы не имеют аналогов отечественного производства.",Data1_10_10754_index.pdf,18
"Что означает, что семена и племенной материал не явно отличаются от охраняемых сортов или пород?","Исключительное право на селекционное достижение распространяется также на семена, племенной 
материал, которые: 
существенным образом наследуют признаки других охраняемых (исходных) сорта растений или породы 
животных, если эти охраняемые сорт или порода сами не являются селекционными достижениями, 
существенным образом наследующими признаки других селекционных достижений; 
не явно отличаются от охраняемых сорта растений или породы животных; 
требуют неоднократного использования охраняемого сорта растений для производства семян.",Гражданский кодекс Российской Федерации.pdf,604
"Какие гарантии предоставляются работнику, усыновившему ребенка, в отношении отпусков?","Отпуска работникам, усыновившим ребенка 
Работникам, усыновившим ребенка, предоставляется отпуск на период со дня усыновления и до истечения 
70 календарных дней со дня рождения усыновленного ребенка, а при одновременном усыновлении двух и 
более детей - 110 календарных дней со дня их рождения.",Трудовой кодекс Российской Федерации.pdf,154
Какие требования к диспетчерской связи с теплоснабжающей организацией должны быть указаны в технических условиях согласно СНиП?,"Должны быть указаны СНиП и ГОСТ для учета
их требований при проектировании конкретного раздела проекта и при выполнении работ.",Data1_10_10865_index.pdf,21
Какой штраф предусмотрен за нарушение порядка рассмотрения жалоб на нарушение порядка предоставления государственной или муниципальной услуги?,"Нарушение должностным лицом, наделенным полномочиями по рассмотрению жалоб на нарушение 
порядка предоставления государственной или муниципальной услуги, порядка или сроков рассмотрения 
жалобы либо незаконный отказ или уклонение указанного должностного лица от принятия ее к 
рассмотрению - 
влечет наложение административного штрафа в размере от двадцати тысяч до тридцати тысяч рублей.",Административный кодекс Российской Федерации.pdf,55
Какие работы по герметизации швов предусмотрены в соответствии с ГОСТ МДС 13-18.2000?,"Накладные расходы (графы 2 и 3) рассчитываются по нормам по
видам работ в соответствии с Методическими указаниями по определению величины
накладных расходов в строительстве (МДС 81-4.99, МДС 81-5.99).",Data1_10_10754_index.pdf,18
Что регулирует Глава 24.1?,"N 200-ФЗ (ЛК РФ) (с изменениями и 
дополнениями) 
 
Принят Государственной Думой 8 ноября 2006 года 
Одобрен Советом Федерации 24 ноября 2006 года 
Глава 1.",Лесной кодекс Российской Федерации.pdf,0
"В каких случаях таможенный орган не направляет уведомление о неуплаченных суммах таможенных пошлин, налогов?","В случае неисполнения или ненадлежащего исполнения обязанности по уплате 
таможенных пошлин, налогов таможенный орган в порядке и сроки, которые устанавливаются 
законодательством государств-членов, направляет плательщику таможенных пошлин, налогов, а 
также лицам, которые в соответствии с настоящим Кодексом несут с плательщиком таможенных 
пошлин, налогов солидарную обязанность по уплате таможенных пошлин, налогов или, если это 
предусмотрено законодательством государств-членов, - субсидиарную обязанность по уплате 
таможенных пошлин, налогов, уведомление о не уплаченных в установленный срок суммах 
таможенных пошлин, налогов, за исключением случаев, предусмотренных пунктом 4 настоящей 
статьи, и случаев, установленных законодательством государств-членов в соответствии с пунктом 5 
настоящей статьи.",Таможенный кодекс Евразийского экономического союза.pdf,55
Какие положения Кодекса применяются при приватизации государственного и муниципального имущества?,"При приватизации государственного и муниципального имущества предусмотренные настоящим Кодексом 
положения, регулирующие порядок приобретения и прекращения права собственности, применяются, 
если законами о приватизации не предусмотрено иное.",Гражданский кодекс Российской Федерации.pdf,129
Что происходит при неисполнении обязанности по уплате налога?,"Арест имущества производится в случае неисполнения налогоплательщиком-организацией в установленные 
сроки обязанности по уплате налога, пеней и штрафов и при наличии у налоговых или таможенных органов 
достаточных оснований полагать, что указанное лицо предпримет меры, чтобы скрыться либо скрыть свое 
имущество.",Налоговый кодекс Российской Федерации.pdf,182
"Какие дополнительные требования предъявляются к некоммерческой организации, если члены подают заявления о намерении принимать участие в заключении договоров подряда на подготовку проектной документации?","В случае, если не менее чем пятнадцать членов некоммерческой организации, указанной в части 1 
настоящей статьи, подали в саморегулируемую организацию заявления о намерении принимать участие в 
заключении договоров подряда на выполнение инженерных изысканий, на подготовку проектной 
документации с использованием конкурентных способов заключения договоров, такая некоммерческая 
организация на основании заявлений указанных членов по решению ее постоянно действующего 
коллегиального органа управления обязана дополнительно сформировать компенсационный фонд 
обеспечения договорных обязательств.",Градостроительный кодекс Российской Федерации.pdf,194
