question,answer,sources
Какие значения коэффициентов ψa и ψb приведены в таблице 8 согласно СНиП 3.01.03-84?," Значения коэффициентов ψa и ψb приведены в таблице 9, согласно СНиП 3.01.03-84, для разных значений n1n' в зависимости от типа оболочки (а для круговой, б для цилиндрической).","Data1_10_10754_index.pdf:page_3, Data1_10_10846_index.pdf:page_16, Data1_10_10865_index.pdf:page_38, Data1_11_11285_index.pdf:page_18, Data1_11_11285_index.pdf:page_19"
Какие телефонные номера доступны для бесплатной юридической консультации в регионах России?," Бесплатная юридическая консультация доступна по следующим телефонным номерам:
• 8 (499) 938-53-84 - Москва и МО;
• 8 (812) 467-95-33 - Санкт-Петербург и ЛО;
• 8 (800) 301-79-07 - Регионы РФ.","Водный кодекс Российской Федерации.pdf:page_21, Воздушный кодекс Российской Федерации.pdf:page_51, Кодекс административного судопроизводства Российской Федерации.pdf:page_226, Лесной кодекс Российской Федерации.pdf:page_32, Уголовно-исполнительный кодекс Российской Федерации.pdf:page_54"
Какие меры предусмотрены для ликвидации волосяных трещин в стенах согласно ГОСТ МДС 13-18.2000?," Для ликвидации волосяных трещин в стенах не предусмотрено конкретное решение в ГОСТ МДС 13-18.2000, который касается подготовки жилого фонда к зиме и методических рекомендаций по ликвидации нарушений в его содержании и использовании.","Data1_10_10852_index.pdf:page_1, Data1_10_10852_index.pdf:page_4, Data1_10_10861_index.pdf:page_1, Data1_10_10861_index.pdf:page_16, Data1_10_10861_index.pdf:page_25"
Какие рекомендации по расчету материальных затрат и прочих расходов даны в ГОСТ МДС 81-7.2000?, ГОСТ МДС 81-7.2000 рекомендует использование для расчета материальных затрат в практических расчетах при составлении смет расходов на содержание службы заказчика-застройщика и определения численности персонала на календарный год в зависимости от выделенных инвестиций.,"Data1_2_2073_index.pdf:page_1, Data1_2_2075_index.pdf:page_1, Data1_2_2079_index.pdf:page_1, Data1_2_2116_index.pdf:page_1, Data1_2_2117_index.pdf:page_1"
Какие лица не требуют членства в саморегулируемых организациях при выполнении работ по договорам строительного подряда с федеральными органами исполнительной власти?, Индивидуальные предприниматели и юридические лица не являющиеся членами саморегулируемых организаций в области строительства могут выполнять работы по договорам строительного подряда с федеральными органами исполнительной власти.,"Градостроительный кодекс Российской Федерации.pdf:page_112, Градостроительный кодекс Российской Федерации.pdf:page_116, Градостроительный кодекс Российской Федерации.pdf:page_164, Градостроительный кодекс Российской Федерации.pdf:page_165, Градостроительный кодекс Российской Федерации.pdf:page_251"
Как переводится годовой объем капитальных вложений в цены 1984 г. согласно ГОСТ МДС 81-7.2000?, Переводится по формуле: объем инвестиций (в рублях) / индекс удорожания капитальных вложений (с 1984 г.) = стоимость в ценях 1984 г.,"Data1_10_10754_index.pdf:page_18, Data1_2_2079_index.pdf:page_1, Data1_2_2116_index.pdf:page_12, Data1_2_2116_index.pdf:page_3, Data1_2_2117_index.pdf:page_1"
"Какой штраф может быть наложен на граждан за незаконное перемещение физическими лицами табачной продукции, не маркированной специальными (акцизными) марками?"," Граждан за незаконное перемещение физическими лицами табачной продукции, не маркированной специальными (акцизными) марками, накладывают штраф в размере от тридцати тысяч до пятидесяти тысяч рублей с конфискацией предметов административного правонарушения, согласно статье 15.12.1 кодекса о административных правонарушениях РФ.","Административный кодекс Российской Федерации.pdf:page_246, Административный кодекс Российской Федерации.pdf:page_297, Административный кодекс Российской Федерации.pdf:page_308, Административный кодекс Российской Федерации.pdf:page_71, Уголовный кодекс Российской Федерации.pdf:page_259"
Какие телефоны доступны для бесплатной юридической консультации в Москве и Московской области?, Телефоны для бесплатной юридической консультации в Москве и Московской области доступны по следующим номерам: 8 (499) 938-53-71.,"Административный кодекс Российской Федерации.pdf:page_374, Административный кодекс Российской Федерации.pdf:page_415, Административный кодекс Российской Федерации.pdf:page_417, Административный кодекс Российской Федерации.pdf:page_67, Градостроительный кодекс Российской Федерации.pdf:page_291"
Какой ГОСТ регламентирует стоимость 1 м² общей площади?," ГОСТ регламентирует стоимость 1 м² общей площади не указан, но используются данные из таблицы 5 (строительная стоимость СМР) с уровня базисного цен в 1993 году.","Data1_11_11835_index.pdf:page_4, Data1_2_2080_index.pdf:page_10, Data1_2_2080_index.pdf:page_15, Data1_2_2080_index.pdf:page_17, Data1_2_2080_index.pdf:page_18"
"Что происходит с решениями иностранных судов, которые не требуют принудительного исполнения?"," Решения иностранных судов, которые не требуют принудительного исполнения, признаются в Российской Федерации если их признание предусмотрено международным договором Российской Федерации и федеральным законом.","Арбитражный процессуальный кодекс Российской Федерации.pdf:page_157, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_158, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_159, Гражданский процессуальный кодекс Российской Федерации.pdf:page_168, Гражданский процессуальный кодекс Российской Федерации.pdf:page_169"
"В каких случаях законные представители могут передать земельные участки, наследуемые несовершеннолетними, в аренду?"," Законные представители могут передать земельные участки, наследуемые несовершеннолетними, в аренду до достижения наследниками совершеннолетия.","Земельный кодекс Российской Федерации.pdf:page_195, Земельный кодекс Российской Федерации.pdf:page_21, Земельный кодекс Российской Федерации.pdf:page_22, Земельный кодекс Российской Федерации.pdf:page_38, Земельный кодекс Российской Федерации.pdf:page_53"
В какие сроки должна быть представлена транзитная декларация при перевозке товаров автомобильным транспортом?," Транзитная декларация должна быть представлена в течение 3 месяцев после того, как товары будут перевозены автомобильным транспортом.","Таможенный кодекс Евразийского экономического союза.pdf:page_124, Таможенный кодекс Евразийского экономического союза.pdf:page_127, Таможенный кодекс Евразийского экономического союза.pdf:page_174, Таможенный кодекс Евразийского экономического союза.pdf:page_177, Таможенный кодекс Евразийского экономического союза.pdf:page_91"
На каком сайте можно найти комментарии к статьям?, На сайтах https://gkodeksrf.ru/ и https://upkodeksrf.ru/ можно найти комментарии к статьям.,"Гражданский кодекс Российской Федерации.pdf:page_520, Гражданский кодекс Российской Федерации.pdf:page_563, Гражданский кодекс Российской Федерации.pdf:page_591, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_124, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_222"
Как устанавливаются порядок и сроки внесения платы за подключение объектов капитального строительства?," Ответ: Технические требования и условия, а также технические условия подключения (технологического присоединения) объектов капитального строительства к сетям инженерно-технического обеспечения устанавливаются Правительством Российской Федерации. Срок и порядок внесения платы за подключение объектов капиталного строительства не упоминается в контексте предоставленном, поэтому невозможно дать точный ответ. Для получения полной информации рекомендуется обратиться к соответствующим правилам подключения (технологического присоединения) или юридической консультации. Бесплатная юридическая консультация по телефонам: 8 (499) 938-53-71 (Москва и МО); 8 (812) 467-95-28 (Санкт-Петербург и ЛО); 8 (800) 301-92-12 (Регионы РФ).","Градостроительный кодекс Российской Федерации.pdf:page_168, Градостроительный кодекс Российской Федерации.pdf:page_170, Градостроительный кодекс Российской Федерации.pdf:page_172, Градостроительный кодекс Российской Федерации.pdf:page_261, Земельный кодекс Российской Федерации.pdf:page_111"
Как определяется количество циркулирующего теплоносителя в случае самовольного присоединения по ГОСТ МДС 41-3.2000?," В случае самовольного присоединения, количество циркулирующего теплоносителя не определяется с помощью указанного в ГОСТ МДС 41-3.2000 метода. Появившийся объект должен пройти аттестацию, после чего будет произведен расчет расхода теплоносителя, учитывая технические характеристики нового объекта и условия работы системы коммунального теплоснабжения.","Data1_10_10852_index.pdf:page_21, Data1_10_10870_index.pdf:page_4, Data1_10_10871_index.pdf:page_1, Data1_10_10871_index.pdf:page_11, Data1_10_10871_index.pdf:page_6"
Как привязываются затраты на эксплуатацию строительных машин и определяются затраты на заработную плату машинистов согласно ГОСТ МДС 81-10.2000?," Затраты на эксплуатацию строительных машин привязываются к сборнику ПВР (Правила вычисления расходов) согласно ГОСТ МДС 81-10.2000. Средства на оплату труда рабочих, управляющих машинами, рассчитаны по производительности машин и часовой оплате машинистов. Затраты на заработную плату машинистов определяются как 0,3-кратная стоимость эксплуатации машин.","Data1_10_10754_index.pdf:page_3, Data1_10_10848_index.pdf:page_5, Data1_2_2076_index.pdf:page_4, Data1_2_2076_index.pdf:page_6, Data1_2_2080_index.pdf:page_16"
Какие требования предъявляются к столику штатива согласно СНиП 3.01.03-84?," Столик штатива для сооружений должен соответствовать требованиям СНиП 3.01.03-84, указанным в пп. 2.5 и 2.6:

* Твердый и прочный материал;
* Состояние поверхности недолговечных материалов - гладкий и ровный;
* Размеры столика должны соответствовать параметрам штатива, на который он устанавливается;
* Устойчивость к воздействию ветра.","Data1_10_10861_index.pdf:page_16, Data1_10_10861_index.pdf:page_24, Data1_10_10865_index.pdf:page_30, Data1_11_11285_index.pdf:page_4, Data1_2_2073_index.pdf:page_6"
На что не имеют права участники судебных прений?," В судебных прениях участники не вправе касаться обстоятельств, которые рассматриваются после вынесения вердикта без участия присяжных заседателей.","Арбитражный процессуальный кодекс Российской Федерации.pdf:page_86, Гражданский процессуальный кодекс Российской Федерации.pdf:page_79, Кодекс административного судопроизводства Российской Федерации.pdf:page_94, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_190, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_218"
Какой максимальный срок лишения свободы может быть назначен за нарушение требований по защите государственной тайны?," Максимальный срок лишения свободы, который может быть назначен за нарушение требований по защите государственной тайны, составляет 8 лет.","Уголовный кодекс Российской Федерации.pdf:page_160, Уголовный кодекс Российской Федерации.pdf:page_226, Уголовный кодекс Российской Федерации.pdf:page_227, Уголовный кодекс Российской Федерации.pdf:page_24, Уголовный кодекс Российской Федерации.pdf:page_33"
Что такое совместная собственность?," В данном контексте ""совместная собственность"" - это собственность, принадлежащая нескольким лицам одновременно и наравне, как в случае с крестьянско-фермерским хозяйством (земельный участок, постройки, техника, скот и т.п.), а также совместная собственность супругов после раздела их общих имуществ в случае расторжения брака.","Гражданский кодекс Российской Федерации.pdf:page_144, Гражданский кодекс Российской Федерации.pdf:page_146, Семейный кодекс Российской Федерации.pdf:page_10, Семейный кодекс Российской Федерации.pdf:page_8, Семейный кодекс Российской Федерации.pdf:page_9"
Как определяются подлежащие оплате количества потребленной тепловой энергии и использованного теплоносителя при неполном укомплектовании узла учета согласно ГОСТ?," При неполном укомплектовании узла учета тепловой энергии и теплоносителей, количество подлежащее оплате тепловой энергии и использованного теплоносителя определяется по следующим методам:
- Для абонентов без приборов учета, тепловая энергия и объем теплоносителей определяются расчетным путем или согласно водному балансу системы.
- Тепловые потери через изоляцию трубопроводов определяются согласно СНиП 2.04.14-88 и Методических указаниям ""Работы в непосредственной близости от тепловых сетей"".
- При временном отсутствии средств измерений, используется расчетный метод.
- Для открытой системы теплоснабжения без приборов учета, водопотребление аabloнентa определяется пропорционально его договорной среднечасовой величине водоразбора.

Все эти методы должны быть в соответствии с действующими Правилами учета тепловой энергии и теплоносителя.","Data1_10_10870_index.pdf:page_4, Data1_10_10870_index.pdf:page_6, Data1_10_10871_index.pdf:page_10, Data1_10_10871_index.pdf:page_11, Data1_10_10871_index.pdf:page_12"
На каком сайте можно найти комментарии к статьям Кодекса?," Комментарии к статьям Кодекса можно найти на следующих сайтах: <https://gkodeksrf.ru/>, <https://apkodrf.ru/> и <https://ktmrf.ru/>","Арбитражный процессуальный кодекс Российской Федерации.pdf:page_130, Гражданский кодекс Российской Федерации.pdf:page_463, Гражданский кодекс Российской Федерации.pdf:page_562, Гражданский кодекс Российской Федерации.pdf:page_563, Кодекс торгового мореплавания Российской Федерации.pdf:page_122"
Можно ли применять разные налоговые ставки в зависимости от покупателя?," Да, в зависимости от вида ценных бумаг могут применяться разные налоговые ставки (согласно пункту 2 статьи 284 Кодекса Российской Федерации о налоге на доход физических лиц), а также при реализации определенных товаров, в соответствии с разными статьями и условиями (см. пункты 1, 5.1, 6, 11 статьи 154 Кодекса Российской Федерации и другие), акцизные ставки могут отличаться по виду товара.","Налоговый кодекс Российской Федерации.pdf:page_1066, Налоговый кодекс Российской Федерации.pdf:page_1510, Налоговый кодекс Российской Федерации.pdf:page_460, Налоговый кодекс Российской Федерации.pdf:page_635, Налоговый кодекс Российской Федерации.pdf:page_646"
Кто может заключить договор безвозмездного пользования лесным участком?," Договор безвозмездного пользования лесным участком могут заключать лица, использующие леса в соответствии с случаями, предусмотренными настоящим Кодексом (то есть юридические лица и индивидуальные предприниматели).","Лесной кодекс Российской Федерации.pdf:page_31, Лесной кодекс Российской Федерации.pdf:page_56, Лесной кодекс Российской Федерации.pdf:page_59, Лесной кодекс Российской Федерации.pdf:page_60, Лесной кодекс Российской Федерации.pdf:page_61"
Какие методы установки шпунтовых ограждений описаны в СНиП 3.02.01-83?," В СНиП 3.02.01-83 нет упоминания методов установки шпунтовых ограждений. Однако, в этом документе указываются требования к креплению подоконников, а также говорится о применении герметиков для заделки направляющих бортиков.","Data1_10_10861_index.pdf:page_15, Data1_10_10861_index.pdf:page_25, Data1_10_10865_index.pdf:page_30, Data1_10_10865_index.pdf:page_33, Data1_11_11285_index.pdf:page_35"
Какие меры следует предпринять при невыполнении мероприятий по качественной регулировке систем отопления и экономии расхода теплоты согласно ПН-5-17?," При невыполнении мероприятий по качественной регулировке систем отопления и экономии расхода теплоты согласно ПН-5-17 следует: устранить течки из трубопроводов, обеспечить разработку (восстановление) необходимого для циркуляционных насосов, поддерживать давление в подающем и обратном трубопроводах системы отопления не более 0,5 МПа и предельно допустимом для отопительных приборов, восстановить производительность или заменить циркуляционные насосы.","Data1_10_10852_index.pdf:page_21, Data1_10_10861_index.pdf:page_29, Data1_10_10861_index.pdf:page_30, Data1_10_10861_index.pdf:page_31, Data1_10_10871_index.pdf:page_15"
На основании каких сведений осуществляется постановка на учет иностранной организации через отделения некоммерческих неправительственных организаций?," Постановка на учет иностранной организации осуществляется на основании сведений, содержащихся в реестре представительств иностранных некоммерческих неправительственных организаций, указанном в пункте 9 статьи 85 настоящего Кодекса.","Налоговый кодекс Российской Федерации.pdf:page_202, Налоговый кодекс Российской Федерации.pdf:page_207, Налоговый кодекс Российской Федерации.pdf:page_209, Налоговый кодекс Российской Федерации.pdf:page_210, Налоговый кодекс Российской Федерации.pdf:page_212"
"Какие условия должны соблюдаться при вселении граждан, постоянно проживающих с нанимателем?"," При вселении граждан, постоянно проживающих с нанимателем, должно быть достигнуто согласие между всеми сторонами и предварительное уведомление наймодателя. В случае социального аренды, этот процесс также должен осуществляться в рамках закона об отчуждении права собственности на занимаемое по договору найма жилое помещение не ведёт к расторжению или изменению договора найма. Наниматель должен уведомить наймодателя о всех новых членах его семьи и соблюдать нормы предоставления жилых помещений в случае расширения семьи.","Гражданский кодекс Российской Федерации.pdf:page_301, Гражданский кодекс Российской Федерации.pdf:page_302, Гражданский кодекс Российской Федерации.pdf:page_303, Жилищный кодекс Российской Федерации.pdf:page_65, Жилищный кодекс Российской Федерации.pdf:page_69"
Какова максимальная величина смещения теодолита с оси ряда колонн согласно СНиП 3.01.03-84?, Максимальная величина смещения теодолита с оси ряда колонн - 1000 мм (согласно СНиП 3.01.03-84).,"Data1_11_11285_index.pdf:page_17, Data1_11_11285_index.pdf:page_47, Data1_11_11285_index.pdf:page_48, Data1_11_11285_index.pdf:page_59, Data1_11_11285_index.pdf:page_60"
Какие данные должны быть указаны в тендерной документации?," В тендерной документации должны быть указаны сведения об объекте и предмете торгов, проектная документация, требования к составу документации оферты, инструкция оферентам, условия и порядок проведения торгов, проект контракта, форма заявки об участии в торгах. Кроме того, должен быть представлен каталог оборудования с указанием изготовителей, а также технические данные о предмете торгов (в том числе характеристики строительства и инженерного обеспечения).","Data1_10_10865_index.pdf:page_2, Data1_10_10865_index.pdf:page_36, Data1_10_10865_index.pdf:page_37, Data1_10_10865_index.pdf:page_4, Data1_10_10865_index.pdf:page_41"
Кто разработал Пособие по производству геодезических работ в строительстве?," Пособие было разработано ЦНИИОМТП (Центральным научно-исследовательским и проектно-экспериментальным институтом организации, механизации и технической помощи строительства Госстроя СССР).","Data1_10_10864_index.pdf:page_1, Data1_11_11285_index.pdf:page_1, Data1_11_11285_index.pdf:page_2, Data1_11_11285_index.pdf:page_78, Data1_11_11295_index.pdf:page_1"
Какие телефоны доступны для бесплатной юридической консультации в Санкт-Петербурге и Ленинградской области?, Для бесплатной юридической консультации в Санкт-Петербурге и Ленинградской области доступны следующие телефоны: 8 (812) 467-95-28.,"Административный кодекс Российской Федерации.pdf:page_374, Административный кодекс Российской Федерации.pdf:page_415, Административный кодекс Российской Федерации.pdf:page_417, Административный кодекс Российской Федерации.pdf:page_67, Градостроительный кодекс Российской Федерации.pdf:page_291"
"Что происходит, если налогоплательщик не уплатил или не полностью уплатил суммы, указанные в требовании об уплате налога и процентов?"," Если налогоплательщик не уплатил или не полностью уплатил суммы, указанные в требовании об уплате налога и процентов, то налоговый орган в течение восьми дней по истечению установленного срока направляет налогоплательщику требование об уплате в течение восьми дней соответствующей суммы авансового платежа акциза, пеней и штрафа.","Налоговый кодекс Российской Федерации.pdf:page_1550, Налоговый кодекс Российской Федерации.pdf:page_166, Налоговый кодекс Российской Федерации.pdf:page_536, Налоговый кодекс Российской Федерации.pdf:page_615, Налоговый кодекс Российской Федерации.pdf:page_714"
"Какие переходные положения существуют для свободных складов, владельцы которых включены в реестр владельцев свободных складов до 1 мая 2010 г.?"," Для владельцев свободных складов, включенных в реестр до 1 мая 2010 г., Комиссия может определить ограничения по количеству товаров, изготовленных (полученных) из иностранных товаров, помещенных под таможенную процедуру свободного склада, которые могут быть признаны товарами Союза. Это содержится в статье 218 настоящего Таможенного кодекса Таможенного союза.","Таможенный кодекс Евразийского экономического союза.pdf:page_463, Таможенный кодекс Евразийского экономического союза.pdf:page_465, Таможенный кодекс Евразийского экономического союза.pdf:page_467, Таможенный кодекс Евразийского экономического союза.pdf:page_495, Таможенный кодекс Евразийского экономического союза.pdf:page_508"
Что такое зоны с особыми условиями использования земель?," Зоны с особыми условиями использования территории - это специальные региональные области или участки, на которых допускаются определенные типы деятельности или существуют ограничения для обеспечения сохранности объектов культурного наследия, природы, охраны здоровья населения, и так далее.","Земельный кодекс Российской Федерации.pdf:page_185, Земельный кодекс Российской Федерации.pdf:page_187, Земельный кодекс Российской Федерации.pdf:page_189, Земельный кодекс Российской Федерации.pdf:page_190, Земельный кодекс Российской Федерации.pdf:page_193"
Какие законодательные акты лежат в основе Рекомендаций? (ГОСТ)," Законодательные акты, на которые основаны данные Методические рекомендации:
1. ""Об основах налоговой системы Российской Федерации"" (с изменениями и дополнениями введёнными законами РФ от 16.07.92 № 3317-1, 22.12.92 № 4178-1, 21.05.93 № 5006-1);
2. Письмо Комиссии Совета Республики ВС РФ по бюджету, планам, налогам и ценам, Минфина России и Госналогслужбы России от 31.05.93 № 5-1/756;
3. ""Об общей части градостроительного законодательства в Российской Федерации"" (Федеральный закон от 23.12.95 N 84-ФЗ);
4. ""Об основах государственной регистрации недвижимости"" (Федеральный закон от 07.10.1995 N 130-ФЗ);
5. ""Об основах оценки недвижимости в Российской Федерации"" (Федеральный закон от 28.08.2002 N 115-ФЗ);
6. ""Об общей характеристике государственного регулирования в сфере строительства и архитектуры в Российской Федерации"" (Федеральный закон от 14.07.95 N 123-ФЗ);
7. ""Об административных процедурах в области градостроительной деятельности и землепользования"" (Федеральный закон от 06.10.2004 N 189-ФЗ).","Data1_2_2070_index.pdf:page_2, Data1_2_2070_index.pdf:page_24, Data1_2_2116_index.pdf:page_2, Data1_2_2117_index.pdf:page_1, Бюджетный кодекс Российской Федерации.pdf:page_245"
Какие операции по управлению остатками средств на едином счете местного бюджета включают привлечение средств?," Привлекаются средства на единый счет местного бюджета для осуществления операций по управлению остатками средств, привлечения средств для обеспечения остатка средств на едином счете местного бюджета и привлечения средств получателей средств из бюджета.","Бюджетный кодекс Российской Федерации.pdf:page_255, Бюджетный кодекс Российской Федерации.pdf:page_326, Бюджетный кодекс Российской Федерации.pdf:page_330, Бюджетный кодекс Российской Федерации.pdf:page_331, Бюджетный кодекс Российской Федерации.pdf:page_368"
Как определяется разряд и подразряд зрительных работ для помещений торговых залов магазинов согласно ГОСТ МДС 31-8.2002?, Для помещений торговых залов магазинов разряд и подразряд зрительных работ определяются как Б-1 согласно Приложению 7 ГОСТа МДС 31-8.2002.,"Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_13, Data1_10_10846_index.pdf:page_30, Data1_10_10846_index.pdf:page_31, Data1_10_10846_index.pdf:page_41"
Какие товары Союза могут быть использованы при переработке иностранных товаров?," Товары Союза могут быть использованы при переработке иностранных товаров, если условиями помещения товаров под таможенную процедуру переработки на таможенной территории являются:
1) наличие документа об условиях переработки товаров;
2) иностранные товары рассматриваются как товары Союза.","Таможенный кодекс Евразийского экономического союза.pdf:page_188, Таможенный кодекс Евразийского экономического союза.pdf:page_189, Таможенный кодекс Евразийского экономического союза.pdf:page_190, Таможенный кодекс Евразийского экономического союза.pdf:page_192, Таможенный кодекс Евразийского экономического союза.pdf:page_380"
"Какие данные могут быть использованы для определения коэффициентов для пусконаладочных работ, если отсутствуют сметы во внутренних (базисных) ценах Российской Федерации, согласно ГОСТ МДС 81-21.2000?"," Если отсутствуют сметы во внутренних ценах Российской Федерации, согласно ГОСТ МДС 81-21.2000, то коэффициенты для пусконаладочных работ могут определяться на основе индивидуальных калькуляций, утверждаемых заказчиком.","Data1_10_10864_index.pdf:page_16, Data1_10_10864_index.pdf:page_34, Data1_10_10864_index.pdf:page_5, Data1_10_10864_index.pdf:page_6, Data1_2_2069_index.pdf:page_8"
Какая средняя температура за июль в Вендинге согласно ГОСТ МДС 31-8.2002?, Данные по Вендингу отсутствуют в документе ГОСТ МДС 31-8.2002.,"Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_24, Data1_10_10846_index.pdf:page_25, Data1_10_10846_index.pdf:page_26, Data1_10_10846_index.pdf:page_29"
Какие требования к оценке результатов конкурентности работников указаны в ГОСТ МДС 80-2.2000?," В документе ГОСТ МДС 80-2.2000 нет прямых требований к оценке результатов конкурентности работников. Требуется активизация естественного стремления проектировщиков к состязательности в процессе их деятельности, обеспечение необходимой защиты от недобросовестной конкуренции во время действия трудового договора.","Data1_10_10862_index.pdf:page_1, Data1_10_10865_index.pdf:page_1, Data1_10_10866_index.pdf:page_1, Data1_10_10869_index.pdf:page_1, Data1_10_10872_index.pdf:page_1"
Какие административные правонарушения имеют срок давности привлечения к ответственности два месяца?," Срок давности привлечения к административной ответственности для двухмесячных периода относится только к административным правонарушениям, предусмотренным статьей 6.18 настоящего Кодекса о использовании запрещенной субстанции и (или) запрещенного метода.","Административный кодекс Российской Федерации.pdf:page_259, Административный кодекс Российской Федерации.pdf:page_28, Административный кодекс Российской Федерации.pdf:page_31, Административный кодекс Российской Федерации.pdf:page_575, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_106"
Какие проверки должны проводиться в процессе строительства сооружений кабельной канализации согласно СНиП 3.01.03-84?," В процессе строительства сооружений кабельной канализации должны проводиться следующие проверки, согласно СНиП 3.01.03-84:

1. Проверка соответствия отметок геодезических работ проектной документации (секция 4.23).
2. Проверка прямолинейности оси труб в горизонтальной плоскости (секция 4.31).
3. Установление минимальных расстояний между кабельными проводами, если их укладка производится в одной траншее (секция 4.24).
4. Проверка заглубления тепловых сетей от поверхности земли или дорожного покрытия (секция 4.34).
5. Проверка расстояния в свету от поверхности земли до низа тепловой изоляции трубопроводов при надземной прокладке (секция 4.34).","Data1_10_10865_index.pdf:page_14, Data1_10_10865_index.pdf:page_30, Data1_11_11285_index.pdf:page_24, Data1_11_11285_index.pdf:page_25, Data1_11_11285_index.pdf:page_4"
