question,answer
Какие товары Союза могут быть использованы при переработке иностранных товаров?," Товары Союза, в отношении которых законодательством государств-членов не установлены ставки вывозных таможенных пошлин, могут быть использованы при совершении операций по переработке на таможенной территории Союза. Комиссия вправе определять случаи, когда товары Союза могут использоваться при совершении операций по переработке на таможенной территории Союза, даже если в отношении этих товаров установлены ставки вывозных таможенных пошлин."
"Какие данные могут быть использованы для определения коэффициентов для пусконаладочных работ, если отсутствуют сметы во внутренних (базисных) ценах Российской Федерации, согласно ГОСТ МДС 81-21.2000?"," Когда отсутствуют сметы во внутренних (базисных) ценах Российской Федерации, коэффициенты для пусконаладочных работ могут быть определены по тем же объектам-аналогам, используя соответствующие поправки на различия в структуре строительно-монтажных и пусконаладочных работ."
Какая средняя температура за июль в Вендинге согласно ГОСТ МДС 31-8.2002?, 22 °C (в приложение 2 по документу указано средняя температура за июль в Вендинге равна 22 °C)
Какие требования к оценке результатов конкурентности работников указаны в ГОСТ МДС 80-2.2000?," В документе ГОСТ МДС 80-2.2000, разработанном для директоров, не указаны конкретные требования к оценке результатов конкурентности работников. Однако он подчеркивает важность организации внутренней конкуренции и содействия развитию конкуренции среди проектных работников для успешной работы на рынке. Также упоминается о необходимости применения законов рынка, тщательного изучения и анализа спроса на конкретные виды проектных работ (услуг), выявления потенциальных заказчиков и поиска способов более эффективного удовлетворения их потребностей, чем у конкурентов."
Какие административные правонарушения имеют срок давности привлечения к ответственности два месяца?," Срок давности привлечения к административной ответственности для административных правонарушений, предусмотренных различными статьями Кодекса о административных правонарушениях, составляет два месяца. К таким статьям относятся, например, 6.18 (по использованию запрещенной субстанции и/или запрещенного метода), 14.9, 14.9.1, 14.31, 14.32, 14.33, 14.40 (за нарушение различных антимонопольных норм) и другие."
Какие проверки должны проводиться в процессе строительства сооружений кабельной канализации согласно СНиП 3.01.03-84?," При строительстве сооружений кабельной канализации должны осуществляться следующие проверки:

1. Пооперационный контроль за укладкой трубопроводов и установкой смотровых устройств, включая проверку глубины заложения и качества стыков труб, прямолинейности трубопровода, горизонтальности и вертикальности установки смотровых устройств.
2. В процессе строительства должны соблюдаться требования глубины прокладки кабеля не более чем ±10 см от принятой в проекте, а также требования перекрещивания кабелей и радиуса изгиба кабеля.
3. При прокладке кабеля на трассах вне городской черты должны устанавливаться замерные столбики для фиксирования положения трассы.
4. Для соблюдения строгого соответствия проектных уклонов также может применяться технология работ с лазерными приборами."
Какие законы регулируют установление транспортного налога?," Закон транспортный налог регулируется статьями 356, 356.1 и другими нормативными правовыми актами в разделе ""Налог с транспортных средств"" Коdexx Российской Федерации."
"Как долго должен работодатель ждать перед тем, как принять окончательное решение об увольнении?"," Для получения окончательного решения работодатель должен ждать 10 рабочих дней со дня получения мотивированного мнения соответствующего вышестоящего профсоюзного органа или истечения срока для его представления, при условии, что оно было представлено в срок или судебным решением признано необоснованным."
По каким основаниям судья оставляет без движения административное искове заявление о признании нормативного правового акта недействующим?," Судья оставляет без движения административное исковое заявление о признании нормативного правового акта недействующим на основании следующих обстоятельств:
1) Если поданно с нарушением требований статей 125 и 126 настоящего Кодекса, предъявляемых к форме и содержанию административного искового заявления и (или) приложенных к нему документов.
2) Если иное не предусмотрено настоящим Кодексом.
3) В случае, если в установленный срок не устранены обстоятельства, послужившие основанием для оставления административного искового заявления без движения."
Какой законодательный акт регулирует порядок уплаты налога на добавленную стоимость (НДС) согласно ГОСТ МДС 81-23.2000?," Нет информации о том, что в документе ГОСТ МДС 81-23.2000 есть нормы по уплате налога на добавленную стоимость (НДС)."
Какие нормы накладных расходов учитываются? (ГОСТ МДС 81-8.2000)," Нормы накладных расходов учитываются в соответствии с нормативами накладных расходов по видам строительных и монтажных работ, приведенными в Методических указаниях по определению величины накладных расходов в строительстве (МДС 81-4.99)."
Какая информация должна быть включена в единую государственную автоматизированную информационную систему учета древесины и сделок с ней?," Информация, должна быть включена в единую государственную автоматизированную информационную систему учета древесины и сделок с ней:
1) о юридических лицах и их филиалах или об индивидуальных предпринимателях, которые заготавливают древесину;
2) о документах, являющихся основаниями для использования лесных участков;
3) о сведениях о древесине (объем, видовой и сортиментный состав);
4) о пунктах отправления и назначения;
5) реквизиты сделок с древесиной;
6) номера государственного регистрационного знака транспортного средства, на котором осуществляется транспортировка древесины (в случае ее транспортировки автомобильным транспортом)."
Какие координаты центра тяжести фигуры используются в примере согласно СНиП 3.01.03-84?," В примере использованы координаты центра тяжести фигуры, определенные формулами: x0 = Σxiи/n; y0 = Σyiи/n. Значения x0 и y0 равны 9 метрам и 24 метрам соответственно."
"Кто составляет акт о морском протесте, и какие данные используются для его составления?"," Акт о морском протесте составляется нотариусом или должностным лицом консульского учреждения Российской Федерации на основании заявления капитана судна, данных судового журнала, опроса капитана судна и в случае необходимости других членов экипажа судна. Используются следующие данные: наименование судна, сведения о происшествии, обстоятельства, ущерб грузу, капитан судна, нотариус или должностное лицо консульского учреждения Российской Федерации."
"Какой метод учета изменений уровня цен может предлагаться оферентом, согласно ГОСТ МДС 80-3.2000?", Оферентом может предлагаться метод учета изменений уровня цен путем расчета величины приведенных затрат или смешанная (балльно-экономическая) оценка.
Какой ГОСТ или СНиП определяет методы разработки УПБС на основе ресурсной технологической модели?, Ответ: Неизвестно какой ГОСТ или СНиП определяет методы разработки УПБС на основе ресурсной технологической модели.
Какие подотраслевые индексы существуют?," В документе, описанном в вашем вопросе, нет упоминаний о конкретных подотраслевых индексах. Однако в общей системе индексов цен предусматриваются подотраслевые индексы для различных отраслей экономики (например, ""Народное образование"", ""Торговля и общественное питание"", ""Бытовое обслуживание"", ""Здравоохранение"", ""Культура""). Однако точные подотраслевые индексы должны быть установлены на основании соответствующего нормативного акта."
Какова цель дублирования при подготовке оперативных руководителей и персонала? (МДС 15-13.2000)," Целью дублирования при подготовке оперативных руководителей и персонала является обеспечение практического овладения специальностью, адаптации к объектам обслуживания и управления, приобретения практических навыков быстрого ориентирования и других приемов работы. Дублирование проводится под руководством и наблюдением опытного работника по программам, утверждаемым руководителем организации."
Что не допускается при нарушении отделочного слоя согласно СНиП III-21-73* 1981?," Не допускается наличие переувлажнения контактного слоя из-за различия теплофизических характеристик материалов, замерзание воды в подплиточном слое."
"Какие изменения внесены в Закон ""Об акцизах"" в статье 1?"," Внесены изменения, касающиеся того, что налог на добавленную стоимость (НДС) распространяется на товары, ввозимые на территорию Российской Федерации; в налогооблагаемую базу при исчислении НДС включаются таможенная стоимость товара и таможенная пошлина, а по подакцизным товарам - и суммы акцизов. Таможенная стоимость определяется в соответствии с таможенными законами Российской Федерации (введено в действие с 01.02.93)."
Какой штраф грозит должностным лицам за воспрепятствование осуществлению права на свободу совести и свободу вероисповедания?," Должностные лица, за воспрепятствование осуществлению права на свободу совести и свободу вероисповедания (например, препятствие вхождения или выхода из религиозного объединения), грозит административный штраф от 50 тысяч до 100 тысяч рублей."
"Какие затраты, связанные с командированием работников подрядных организаций на стройки при обязанности российской организации относятся на объемы работ, выполняемые российскими организациями (ГОСТ)?"," Затраты, связанные с командированием работников подрядных организаций на стройки при обязанности российской организации относятся на объемы работ, выполняемые российскими организациями (ГОСТ)."
Какие обосновывающие документы требуются для расчета затрат на приобретение малоценного и хозяйственного инвентаря согласно ГОСТ МДС 81-7.2000?," Для расчета затрат на приобретение малоценного и хозяйственного инвентаря согласно ГОСТ МДС 81-7.2000 требуются обосновывающие документы, которые определяют стоимость, норму и технические условия на изготовление или приобретение данного инвентаря в соответствии с ценообразующими и расчетными документами. Кроме того, необходимы сведения о виде, количестве, весе, размерах и других технических характеристиках инвентаря для вычисления его стоимости в соответствии с нормативами накладных расходов."
Когда вступает в силу решение об аннулировании свидетельства?," Решение о аннулировании свидетельства вступает в силу со дня его принятия налоговым органом, выдавшим свидетельство (статья 179.3 Кодекса России ""Свидетельства о регистрации лица, совершающего операции с прямогонным бензином"")."
"Какие исключения существуют для домов и дворцов культуры, расположенных в городах, районных центрах, поселках городского типа?"," Исключения существуют для домов и дворцов культуры, расположенных в городах, районных центрах (кроме административных центров муниципальных районов, являющихся единственным населенным пунктом муниципального района), поселках городского типа. Они не подлежат применению налоговой ставки 0 процентов в соответствии с настоящей статьей, если они являются учредителями этих объектов."
Какой индекс в прогнозном уровне указан для монтажных работ в 1994 году для объектов производственного назначения?, Индекс для монтажных работ в прогнозном уровне для объектов производственного назначения в 1994 году по данным приведенным не указан.
Какие разделы могут входить в техническую часть тендерной документации согласно ГОСТ МДС-80-8.2000?," В техническую часть тендерной документации помимо раздела «Проектная документация» могут входить: ведомость физических объемов работ, особые технические условия на объект торгов, схемы, графики, расчеты, спецификации, информация о системах измерения, стандартов, испытаний, сертификации, а также раздел требований по составу и содержанию оферты."
Как выполняются приконьковые продухи согласно ГОСТ МДС 13-18.2000?, Приконьковые продухи в соответствии с ГОСТ МДС 13-18.2000 должны быть заделываться цементным раствором состава 1:3 для предотвращения просачивания воды из приямков к стене здания.
Как назначаются контрольные и дополнительные рабочие скважины в ходе работ (ГОСТ 3.02.01-83)?," Контрольные и дополнительные рабочие скважины назначаются согласно пункту 5.56 документации ГОСТ 3.02.01-83, где определяется что конкретные скважины могут быть назначены в ходе работ по данным исполнительной документации для проверки качества закрепления."
Какая дата считается датой осуществления внереализационных и прочих расходов для расходов на содержание служебного транспорта?," Для расходов на содержание служебного транспорта датой осуществления внереализационных и прочих расходов является дата фактического расходования денежных средств или поступления иного имущества. Это установлено пунктом 2 статьи 309 Кодекса Российской Федерации ""О налоге на прибыль""."
Какие объекты налогообложения исключаются из налогооблагаемой базы для налога на пользователей автомобильных дорог согласно ГОСТ МДС 81-23.2000?," Объектом налогооблагания для налога на пользователей автомобильных дорог согласно ГОСТ МДС 81-23.2000 исключаются налог на добавленную стоимость, а по предприятиям - изготовителям подакцизных товаров - и акцизы."
"При каких условиях суд устанавливает факты, имеющие юридическое значение?"," Суд устанавливает факты, имеющие юридическое значение только при невозможности получения заявителем в ином порядке надлежащих документов, удостоверяющих эти факты, или при невозможности восстановления утраченных документов (Статья 265). Заявление об установлении факта, имеющего юридическое значение, подается в суд по месту жительства заявителя, за исключением случаев, когда речь идет о факте владения и пользования недвижимым имуществом, которое подается в суд по месту нахождения недвижимого имущества (Статья 266). В заявлении должны быть указано для какой цели заявителю необходимо установить данный факт, а также должны быть приведены доказательства, подтверждающие невозможность получения заявителем надлежащих документов или невозможность восстановления утраченных документов (Статья 267). Решение суда по заявлению об установлении факта, имеющего юридическое значение, является документом, подтверждающим факт, имеющий юридическое значение, а в отношении факта, подлежащего регистрации, служит основанием для такой регистрации, но не заменяет собой документы, выдаваемые органами, осуществляющими регистрацию (Статья 268)."
Какие земли муниципальной собственности упоминаются в ГОСТ МДС 11-7.2000?," В ГОСТ МДС 11-7.2000 упомянуты следующие виды земель, которые могут быть муниципальной собственностью:

1) Земельные участки, признанные таковыми федеральными законами и принятыми в соответствии с ними законами субъектов Российской Федерации.
2) Земельные участки, права на которые возникли при разграничении государственной собственности на землю.
3) Земельные участки, приобретенные по основаниям, установленным гражданским законодательством.
4) Земельные участки, безвозмездно переданные в муниципальную собственность из федеральной собственности."
Сколько опорных точек должно быть передано на монтажные горизонты согласно СНиП 3.01.03-84?," Требование числа опорных точек, передаваемых на монтажные горизонты, не указано в СНиП 3.01.03-84. Определение их количества должно быть осуществлено в зависимости от возможности вертикального проектирования и требований к точности построения разбивочной сети на монтажных горизонтах, но минимум - три."
Что такое перенос убытков на будущее?," Перенос убытков на будущее - это возможность уменьшить налоговую базу в текущий налоговый период на суммы убытков, полученных ранее. Убыток может быть перенесен полностью или частично и производится в той очередности, в которой они понесены. Налоговые вычеты могут предоставляться для переноса убытков на будущее в размере сумм убытков, фактически полученных ранее в соответствии с конкретным законом. При этом суммы убытков, не учтенные при определении размера налогового вычета, могут быть учтены при определении размера налогового вычета в следующих налоговых периодах с учетом положений конкретного закона."
Может ли правообладатель распоряжаться исключительным правом на произведение?," Да, правообладатель имеет право распоряжаться исключительным правом на произведение."
Какие элементы должны быть показаны на схемах современного использования территории и схемах комплексной оценки территории для городов с расчетной численностью населения 250 - 500 тысяч человек согласно ГОСТ МДС 11-7.2000?," Схема современного использования территории должна показывать границы городской, поселковую черту; функциональное использование территории; планировочную структуру жилых, общественных, производственных, коммунально-складских и других функциональных зон; зонирование по этажности и степени капитальности жилой, общественной, производственной и коммунально-складской застройки; территории сельскохозяйственного назначения, озеленения, отдыха и спорта, сооружений и коммуникаций внешнего транспорта, головных сооружений инженерного оборудования.

Схема комплексной оценки территории должна показывать границы залегания полезных ископаемых; территории в различной степени неблагоприятные для застройки по природным и техногенным условиям; санитарно-защитные, защитные и охранные зоны (предприятий, курортов, водоемов, инженерных и транспортных сооружений, коммуникаций и др.); зоны ограничения застройки в районах аэропортов, в районах возможных природных и техногенных катастроф; зоны повышенного шума, вибрации, электромагнитных излучений, радиационного загрязнения, а также зоны с экологическими нарушениями окружающей среды."
Какие отраслевые положения применяются при эксплуатации железнодорожных путей общего пользования согласно ГОСТ МДС 14-13.2000?," При эксплуатации железнодорожных путей общего пользования согласно ГОСТ МДС 14-13.2000 должны применяться отраслевые положения, утвержденные Министерством путей сообщения России."
"Какое наказание предусмотрено за сокрытие информации, совершенное лицом, занимающим государственную должность?"," Наказание за сокрытие информации, совершенное лицом, занимающим государственную должность - штраф в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев."
"Что происходит, если вред причинен в период действия концессионного соглашения?"," Если вред причинен в период действия концессионного соглашения, ответственность за него возникает между сторонами соглашения, а также может распространяться на других лиц, например, собственников здания, сооружения, технического заказчика и т.д., в соответствии с положениями статьи 1220-1223 Гражданского кодекса Российской Федерации. В случае недостаточности имущества государственного казенного учреждения, проводившего государственную экспертизу проектной документации и (или) инженерных исследований, ответственность за вред может перейти на Россию или субъект РФ (часть 7 статьи 1223). Для получения конкретного решения следует обратиться к юридической консультации. Бесплатная юридическая консультация по телефонам:
• 8 (499) 938-53-71 (Москва и МО);
• 8 (812) 467-95-28 (Санкт-Петербург и ЛО);
• 8 (800) 301-92-12 (Регионы РФ)."
Какие копии лицензий должны быть представлены при необходимости?," Копия лицензии на соответствующее видо деятельности должна быть представлена в случае, если наличие лицензии обязательно для осуществления такого вида деятельности."
Какие действия необходимо предпринять при выпадении отдельных камней или кирпичей из кладки цоколя согласно ГОСТ МДС 13-18.2000?, Действия при выпадении отдельных камней или кирпичей из кладки цоколя: расчищают на глубину до 1/2 кирпича с выломкой отдельных кирпичей зубилом и заделывают вставками нового кирпича на сложном растворе.
В какие сроки уполномоченный орган должен направить проект договора аренды иным правообладателям?," В течение тридцати дней со дня направления им уполномоченным органом проекта договора аренды земельного участка, если иное правообладатель не уклонился от его заключения."
В каких случаях защитник участвует в уголовном деле с момента начала процессуальных действий?," Защитник участвует в уголовном деле с момента начала процессуальных действий в следующих случаях:

1) со времени фактического задержания лица, подозреваемого в совершении преступления, применяется к нему мера пресечения в виде заключения под стражу;
2) с момента вручения уведомления о подозрении в совершении преступления в порядке, установленном статьей 223.1 Кодекса;
3) с момента объявления лицу, подозреваемому в совершении преступления, постановления о назначении судебно-психиатрической экспертизы;
4) с момента начала осуществления иных мер процессуального принуждения или иных процессуальных действий, затрагивающих права и свободы лица, подозреваемого в совершении преступления."
"Почему важно не обещать больше, чем можно сделать, согласно ГОСТ МДС 11-11.2000?"," Небеззаветно важно не обещать больше, чем можно сделать, чтобы избежать нарушения обязательств и ущерба репутации. Если вы перестараетесь, может возникнуть ожидание, превышающее возможности, что приведет к негативным последствиям для заказчика и вашей компании."
Какие общесоюзные ценники на пусконаладочные работы перечислены в Приложении 1 к МДС 81-8.2000?," В приложении 1 к МДС 81-8.2000 перечислены следующие общесоюзные ценники на пусконаладочные работы: № 1, № 2, № 3 по № 9."
Какое максимальное количество баллов можно получить за показатель «Использование местных материалов» согласно ГОСТ МДС 80-3.2000?, По ГОСТу МДС 80-3.2000 максимальное количество баллов за показатель «Использование местных материалов» можно составлять до 100 баллов.
Какие сведения должны содержаться в определении по делу о выдаче исполнительного листа на принудительное исполнение решения третейского суда?," Для выдачи исполнительного листа на принудительное исполнение решения третейского суда в определении должны содержаться следующие сведения: состав третейского суда, принявшего решение; наименование постоянно действующего арбитражного учреждения, администрировавшего третейское разбирательство и его местонахождение (если имеется); наименования сторон третейского разбирательства; сведения о решении третейского суда, о выдаче исполнительного листа на принудительное исполнение которого ходатайствует заявитель; указание на выдачу исполнительного листа на принудительное исполнение решения третейского суда или отказ в выдаче этого исполнительного листа."
При каких условиях объявляются торги несостоявшимися?," Торги признаются несостоявшимися в следующих случаях:
1) не подано ни одной заявки на участие в торгах либо принято решение об отказе в допуске к участию в торгах всех заявителей;
2) на дату окончания срока подачи заявок на участие в торгах подана только одна заявка на участие в торгах;
3) только один заявитель допущен к участию в торгах;
4) в торгах, проводимых в форме аукциона, участвовали менее чем два участника аукциона;
5) после троекратного объявления начальной цены предмета торгов, проводимых в форме аукциона, ни один из участников не заявил о своем намерении приобрести предмет аукциона по начальной цене.
(нет информации для случаев 6-7)"
Кому направляются копии постановления судьи?," Копия постановления судьи направляется лицу, возбудившему ходатайство, прокурору, а также лицу, в отношении которого прекращено уголовное дело или уголовное преследование, потерпевшему."
Каковы требования к коагулянту (кремнефтористо-водородная кислота) при однорастворной двухкомпонентной силикатизации по СНиП 3.02.01-83?," Кремнефтористо-водородная кислота должна иметь плотность 1,1 - 1,2 г/см3."
"В каких случаях доходы, полученные физическими лицами за оказание услуг для личных, домашних и (или) иных подобных нужд, освобождаются от налогообложения?"," Доходы за оказание услуг для личных, домашних и (или) иных подобных нужд освобождаются от налогообложений в случае, если физическое лицо не является индивидуальным предпринимателем."
"Что происходит с средствами финансовой поддержки, если условия их получения нарушены?"," В случае нарушения условий получения средств финансовой поддержки, сумма полученных средств в полном объеме отражается в составе доходов налогового периода, в котором допущено нарушение. Если по окончании третьего налогового периода сумма полученных средств превышает сумму расходов, учтенных в соответствии с тем самым пунктом, оставшиеся неучтенные суммы в полном объеме отражаются в составе доходов этого налогового периода."
Какие требования к устойчивости фонарей к температурным перепадам установлены ГОСТ МДС 31-8.2002?," Требования к сопротивлению теплопередаче и воздухопроницанию установлены в разделе 3.5 и 3.6 ГОСТ МДС 31-8.2002. Эти требования определяют допустимые значения коэффициентов теплового и воздухопроницаемости для фонарей при естественном освещении помещений. Если ответа нет - ""нет информации""."
