question,answer,sources
На каком сайте можно найти комментарии к статьям Кодекса?,"Комментарии к статьям на сайте: **https://gkodeksrf.ru/**, **https://apkodrf.ru/**, **https://ktmrf.ru/**.","Арбитражный процессуальный кодекс Российской Федерации.pdf:page_130, Гражданский кодекс Российской Федерации.pdf:page_463, Гражданский кодекс Российской Федерации.pdf:page_562, Гражданский кодекс Российской Федерации.pdf:page_563, Кодекс торгового мореплавания Российской Федерации.pdf:page_122"
Можно ли применять разные налоговые ставки в зависимости от покупателя?,нет в документах,"Налоговый кодекс Российской Федерации.pdf:page_1066, Налоговый кодекс Российской Федерации.pdf:page_1510, Налоговый кодекс Российской Федерации.pdf:page_460, Налоговый кодекс Российской Федерации.pdf:page_635, Налоговый кодекс Российской Федерации.pdf:page_646"
Кто может заключить договор безвозмездного пользования лесным участком?,"По договору безвозмездного пользования лесной участок, находящийся в государственной или муниципальной собственности, предоставляется **лицам, использующим леса**, в случаях, предусмотренных лесным кодексом.","Лесной кодекс Российской Федерации.pdf:page_31, Лесной кодекс Российской Федерации.pdf:page_56, Лесной кодекс Российской Федерации.pdf:page_59, Лесной кодекс Российской Федерации.pdf:page_60, Лесной кодекс Российской Федерации.pdf:page_61"
Какие методы установки шпунтовых ограждений описаны в СНиП 3.02.01-83?,нет в документах,"Data1_10_10861_index.pdf:page_15, Data1_10_10861_index.pdf:page_25, Data1_10_10865_index.pdf:page_30, Data1_10_10865_index.pdf:page_33, Data1_11_11285_index.pdf:page_35"
Какие меры следует предпринять при невыполнении мероприятий по качественной регулировке систем отопления и экономии расхода теплоты согласно ПН-5-17?,нет в документах,"Data1_10_10852_index.pdf:page_21, Data1_10_10861_index.pdf:page_29, Data1_10_10861_index.pdf:page_30, Data1_10_10861_index.pdf:page_31, Data1_10_10871_index.pdf:page_15"
На основании каких сведений осуществляется постановка на учет иностранной организации через отделения некоммерческих неправительственных организаций?,"Постановка на учет иностранной организации через отделения некоммерческих неправительственных организаций осуществляется на основании сведений, сообщаемых органом, указанным в пункте 9 статьи 85 настоящего Кодекса.","Налоговый кодекс Российской Федерации.pdf:page_202, Налоговый кодекс Российской Федерации.pdf:page_207, Налоговый кодекс Российской Федерации.pdf:page_209, Налоговый кодекс Российской Федерации.pdf:page_210, Налоговый кодекс Российской Федерации.pdf:page_212"
"Какие условия должны соблюдаться при вселении граждан, постоянно проживающих с нанимателем?","При вселении граждан, постоянно проживающих с нанимателем, должны соблюдаться условия о **предварительном уведомлении наймодателя** и **общем согласии** (нанимателя и проживающих совместно с ним граждан).","Гражданский кодекс Российской Федерации.pdf:page_301, Гражданский кодекс Российской Федерации.pdf:page_302, Гражданский кодекс Российской Федерации.pdf:page_303, Жилищный кодекс Российской Федерации.pdf:page_65, Жилищный кодекс Российской Федерации.pdf:page_69"
Какова максимальная величина смещения теодолита с оси ряда колонн согласно СНиП 3.01.03-84?,Не более 1000 мм.,"Data1_11_11285_index.pdf:page_17, Data1_11_11285_index.pdf:page_47, Data1_11_11285_index.pdf:page_48, Data1_11_11285_index.pdf:page_59, Data1_11_11285_index.pdf:page_60"
Какие данные должны быть указаны в тендерной документации?,"В тендерной документации должны быть указаны (в том числе в технической части и для состава документации оферты):

- исходная информация о технических, коммерческих, организационных и иных характеристиках объекта и предмета торгов, определяющих требования к разработке оферты;
- о возможности корректировки рабочей документации претендентом с учетом конструктивных и технологических особенностей производства работ, а также границы этой корректировки (в разделе «Архитектурно-строительная часть»);
- виды работ, которые должны выполняться неукоснительно в соответствии с разработанной рабочей документацией, и виды работ, в которых возможны изменения по усмотрению претендента (в разделе «Ведомости объемов работ»);
- при наличии: перечень оборудования и спецификации на поставку производственного оборудования (в соответствующем разделе), включая требование представления каталогов на оборудование с указанием изготовителей;
- (в случае отдельных случаев) данные для принятия решений претендентом, включая сведения о стесненных или сложных участках для строительства и другие необходимые данные.","Data1_10_10865_index.pdf:page_2, Data1_10_10865_index.pdf:page_36, Data1_10_10865_index.pdf:page_37, Data1_10_10865_index.pdf:page_4, Data1_10_10865_index.pdf:page_41"
Кто разработал Пособие по производству геодезических работ в строительстве?,"Пособие по производству геодезических работ в строительстве разработано ЦНИИОМТП (Центральным научно-исследовательским и проектно-экспериментальным институтом организации, механизации и технической помощи строительству).","Data1_10_10864_index.pdf:page_1, Data1_11_11285_index.pdf:page_1, Data1_11_11285_index.pdf:page_2, Data1_11_11285_index.pdf:page_78, Data1_11_11295_index.pdf:page_1"
Какие телефоны доступны для бесплатной юридической консультации в Санкт-Петербурге и Ленинградской области?,8 (812) 467-95-28 (Санкт-Петербург и ЛО).,"Административный кодекс Российской Федерации.pdf:page_374, Административный кодекс Российской Федерации.pdf:page_415, Административный кодекс Российской Федерации.pdf:page_417, Административный кодекс Российской Федерации.pdf:page_67, Градостроительный кодекс Российской Федерации.pdf:page_291"
"Что происходит, если налогоплательщик не уплатил или не полностью уплатил суммы, указанные в требовании об уплате налога и процентов?",нет в документах,"Налоговый кодекс Российской Федерации.pdf:page_1550, Налоговый кодекс Российской Федерации.pdf:page_166, Налоговый кодекс Российской Федерации.pdf:page_536, Налоговый кодекс Российской Федерации.pdf:page_615, Налоговый кодекс Российской Федерации.pdf:page_714"
"Какие переходные положения существуют для свободных складов, владельцы которых включены в реестр владельцев свободных складов до 1 мая 2010 г.?","Для отдельных владельцев свободных складов, включенных в реестр владельцев свободных складов до 1 мая 2010 г., Комиссия вправе определять ограничения по количеству товаров, изготовленных (полученных) из иностранных товаров, помещенных под таможенную процедуру свободного склада, которые могут быть признаны товарами Союза (в случае, если выпуск таких…).","Таможенный кодекс Евразийского экономического союза.pdf:page_463, Таможенный кодекс Евразийского экономического союза.pdf:page_465, Таможенный кодекс Евразийского экономического союза.pdf:page_467, Таможенный кодекс Евразийского экономического союза.pdf:page_495, Таможенный кодекс Евразийского экономического союза.pdf:page_508"
Что такое зоны с особыми условиями использования земель?,"Зоны с особыми условиями использования территории — это установленные границы, в которых должен устанавливаться исчерпывающий перечень видов деятельности, осуществление которых допускается и (или) запрещается, а также применяются ограничения использования земельных участков. Кроме того, требовать согласования размещения зданий, сооружений или осуществления иных видов деятельности в границах таких зон не допускается, за исключением случаев размещения зданий, сооружений в границах придорожных полос автомобильных дорог общего пользования.","Земельный кодекс Российской Федерации.pdf:page_185, Земельный кодекс Российской Федерации.pdf:page_187, Земельный кодекс Российской Федерации.pdf:page_189, Земельный кодекс Российской Федерации.pdf:page_190, Земельный кодекс Российской Федерации.pdf:page_193"
Какие законодательные акты лежат в основе Рекомендаций? (ГОСТ),нет в документах,"Data1_2_2070_index.pdf:page_2, Data1_2_2070_index.pdf:page_24, Data1_2_2116_index.pdf:page_2, Data1_2_2117_index.pdf:page_1, Бюджетный кодекс Российской Федерации.pdf:page_245"
Какие операции по управлению остатками средств на едином счете местного бюджета включают привлечение средств?,нет в документах,"Бюджетный кодекс Российской Федерации.pdf:page_255, Бюджетный кодекс Российской Федерации.pdf:page_326, Бюджетный кодекс Российской Федерации.pdf:page_330, Бюджетный кодекс Российской Федерации.pdf:page_331, Бюджетный кодекс Российской Федерации.pdf:page_368"
Как определяется разряд и подразряд зрительных работ для помещений торговых залов магазинов согласно ГОСТ МДС 31-8.2002?,"Разряд и подразряд зрительных работ для помещений торговых залов магазинов согласно ГОСТ/МДС 31-8.2002 определяются по **приложению 7** (таблица **«Разряды зрительных работ…»**), где для помещений **магазинов радиотоваров** приведено соответствие:

- **Помещения для подготовки товаров к продаже / рекламно-декорационные мастерские / мастерские ремонта оборудования и инвентаря / помещения бракеров / помещения для нарезки тканей / гладильные мастерские / мастерские в магазинах радио- и электротоваров** — **разряд Б-1**.","Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_13, Data1_10_10846_index.pdf:page_30, Data1_10_10846_index.pdf:page_31, Data1_10_10846_index.pdf:page_41"
Какие товары Союза могут быть использованы при переработке иностранных товаров?,нет в документах,"Таможенный кодекс Евразийского экономического союза.pdf:page_188, Таможенный кодекс Евразийского экономического союза.pdf:page_189, Таможенный кодекс Евразийского экономического союза.pdf:page_190, Таможенный кодекс Евразийского экономического союза.pdf:page_192, Таможенный кодекс Евразийского экономического союза.pdf:page_380"
"Какие данные могут быть использованы для определения коэффициентов для пусконаладочных работ, если отсутствуют сметы во внутренних (базисных) ценах Российской Федерации, согласно ГОСТ МДС 81-21.2000?",нет в документах,"Data1_10_10864_index.pdf:page_16, Data1_10_10864_index.pdf:page_34, Data1_10_10864_index.pdf:page_5, Data1_10_10864_index.pdf:page_6, Data1_2_2069_index.pdf:page_8"
Какая средняя температура за июль в Вендинге согласно ГОСТ МДС 31-8.2002?,нет в документах,"Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_24, Data1_10_10846_index.pdf:page_25, Data1_10_10846_index.pdf:page_26, Data1_10_10846_index.pdf:page_29"
Какие требования к оценке результатов конкурентности работников указаны в ГОСТ МДС 80-2.2000?,нет в документах,"Data1_10_10862_index.pdf:page_1, Data1_10_10865_index.pdf:page_1, Data1_10_10866_index.pdf:page_1, Data1_10_10869_index.pdf:page_1, Data1_10_10872_index.pdf:page_1"
Какие административные правонарушения имеют срок давности привлечения к ответственности два месяца?,нет в документах,"Административный кодекс Российской Федерации.pdf:page_259, Административный кодекс Российской Федерации.pdf:page_28, Административный кодекс Российской Федерации.pdf:page_31, Административный кодекс Российской Федерации.pdf:page_575, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_106"
Какие проверки должны проводиться в процессе строительства сооружений кабельной канализации согласно СНиП 3.01.03-84?,нет в документах,"Data1_10_10865_index.pdf:page_14, Data1_10_10865_index.pdf:page_30, Data1_11_11285_index.pdf:page_24, Data1_11_11285_index.pdf:page_25, Data1_11_11285_index.pdf:page_4"
Какие законы регулируют установление транспортного налога?,"Транспортный налог устанавливается настоящим Кодексом и законами субъектов Российской Федерации о налоге, вводится в действие в соответствии с настоящим Кодексом законами субъектов Российской Федерации о налоге и обязателен к уплате на территории соответствующего субъекта Российской Федерации, если иное не предусмотрено статьей 356.1 настоящего Кодекса.","Data1_10_10863_index.pdf:page_2, Налоговый кодекс Российской Федерации.pdf:page_1552, Налоговый кодекс Российской Федерации.pdf:page_1555, Налоговый кодекс Российской Федерации.pdf:page_1562, Налоговый кодекс Российской Федерации.pdf:page_280"
"Как долго должен работодатель ждать перед тем, как принять окончательное решение об увольнении?",нет в документах,"Трудовой кодекс Российской Федерации.pdf:page_234, Трудовой кодекс Российской Федерации.pdf:page_235, Трудовой кодекс Российской Федерации.pdf:page_236, Трудовой кодекс Российской Федерации.pdf:page_242, Трудовой кодекс Российской Федерации.pdf:page_62"
По каким основаниям судья оставляет без движения административное искове заявление о признании нормативного правового акта недействующим?,"Судья оставляет без движения административное исковое заявление о признании нормативного правового акта недействующим на основании части 1 статьи 129 настоящего Кодекса.  

В контексте указано, что также применяются положения об оставлении без движения в случаях, когда:
- не исправлены недостатки данного административного искового заявления и документов, приложенных к нему, в срок, установленный в определении об оставлении административного искового заявл.","Гражданский процессуальный кодекс Российской Федерации.pdf:page_54, Кодекс административного судопроизводства Российской Федерации.pdf:page_109, Кодекс административного судопроизводства Российской Федерации.pdf:page_111, Кодекс административного судопроизводства Российской Федерации.pdf:page_71, Кодекс административного судопроизводства Российской Федерации.pdf:page_72"
Какой законодательный акт регулирует порядок уплаты налога на добавленную стоимость (НДС) согласно ГОСТ МДС 81-23.2000?,В контексте указано: «Средства на уплату налога на добавленную стоимость. Включаются в расчет в установленном законодательством размере.» Конкретный законодательный акт не назван — **нет в документах**.,"Data1_10_10754_index.pdf:page_1, Data1_10_10848_index.pdf:page_11, Data1_2_2069_index.pdf:page_1, Data1_2_2070_index.pdf:page_1, Data1_2_2117_index.pdf:page_1"
Какие нормы накладных расходов учитываются? (ГОСТ МДС 81-8.2000),"В контексте указано, что накладные расходы в текущем уровне цен определяются в процентах от сметных затрат на оплату труда основных рабочих и механизаторов **в соответствии с нормативами накладных расходов по видам строительных и монтажных работ, приведенными в приложении 3 Методических указаний по определению величины накладных расходов в строительстве (МДС 81-4.99)**.

Другие нормы (перечень/конкретные величины) в приведенном фрагменте не указаны.","Data1_10_10754_index.pdf:page_18, Data1_10_10848_index.pdf:page_7, Data1_2_2070_index.pdf:page_1, Data1_2_2076_index.pdf:page_1, Data1_2_2079_index.pdf:page_1"
Какая информация должна быть включена в единую государственную автоматизированную информационную систему учета древесины и сделок с ней?,"В документах указано, что в единую государственную автоматизированную информационную систему учета древесины и сделок с ней должна включаться информация, в том числе:

- о договоре аренды лесного участка (наименования сторон; место нахождения — для юридического лица; фамилия, имя, отчество и данные документа, удостоверяющего личность, — для индивидуального предпринимателя; местоположение лесного участка; дата заключения и номер договора или иного документа; срок действия; объем заготовки древесины);
- о договоре купли-продажи лесных насаждений (наименования сторон; организационно-правовая форма и место нахождения — для юридического лица; ФИО и данные документа, удостоверяющего личность, — для индивидуального предпринимателя; местоположение лесных…);
- об адресах (местоположении) мест (пунктов) складирования древесины, объектов лесоперерабатывающей инфраструктуры, о производственных мощностях объектов лесоперерабатывающей инфраструктуры;
- о машинах, предназначенных для рубки лесных насаждений и используемых лицом, осуществляющим использование лесов, при осуществлении мероприятий по сохранению лесов и при заготовке древесины, и об автотранспортных средствах, осуществляющих транспортировку древесины.","Градостроительный кодекс Российской Федерации.pdf:page_266, Лесной кодекс Российской Федерации.pdf:page_27, Лесной кодекс Российской Федерации.pdf:page_30, Лесной кодекс Российской Федерации.pdf:page_31, Лесной кодекс Российской Федерации.pdf:page_33"
Какие координаты центра тяжести фигуры используются в примере согласно СНиП 3.01.03-84?,"В примере используются координаты центра тяжести фигуры:  
- \(x_0 = \Sigma x_i / n = 9{,}000 \, \text{м}\)  
- \(y_0 = \Sigma y_i / n = 24{,}000 \, \text{м}\)","Data1_11_11285_index.pdf:page_17, Data1_11_11285_index.pdf:page_42, Data1_11_11285_index.pdf:page_43, Data1_11_11285_index.pdf:page_52, Data1_2_2073_index.pdf:page_6"
"Кто составляет акт о морском протесте, и какие данные используются для его составления?",нет в документах,"Административный кодекс Российской Федерации.pdf:page_593, Административный кодекс Российской Федерации.pdf:page_595, Кодекс торгового мореплавания Российской Федерации.pdf:page_135, Кодекс торгового мореплавания Российской Федерации.pdf:page_136, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_155"
"Какой метод учета изменений уровня цен может предлагаться оферентом, согласно ГОСТ МДС 80-3.2000?",нет в документах,"Data1_10_10864_index.pdf:page_1, Data1_10_10869_index.pdf:page_1, Data1_10_10869_index.pdf:page_2, Data1_2_2079_index.pdf:page_1, Data1_2_2117_index.pdf:page_1"
Какой ГОСТ или СНиП определяет методы разработки УПБС на основе ресурсной технологической модели?,нет в документах,"Data1_2_2080_index.pdf:page_2, Data1_2_2080_index.pdf:page_34, Data1_2_2080_index.pdf:page_7, Data1_2_2080_index.pdf:page_9, Data1_2_2117_index.pdf:page_3"
Какие подотраслевые индексы существуют?,нет в документах,"Data1_2_2075_index.pdf:page_4, Data1_2_2080_index.pdf:page_9, Data1_2_2081_index.pdf:page_3, Data1_2_2117_index.pdf:page_1, Жилищный кодекс Российской Федерации.pdf:page_126"
Какова цель дублирования при подготовке оперативных руководителей и персонала? (МДС 15-13.2000),нет в документах,"Data1_10_10858_index.pdf:page_1, Data1_10_10862_index.pdf:page_1, Data1_10_10862_index.pdf:page_2, Data1_10_10862_index.pdf:page_3, Data1_2_2116_index.pdf:page_1"
Что не допускается при нарушении отделочного слоя согласно СНиП III-21-73* 1981?,"Не допускается (при местных разрушениях облицовки, штукатурки фактурного и окрасочного слоев, трещинах в штукатурке) попадание влаги под покрытие.","Data1_10_10861_index.pdf:page_14, Data1_10_10861_index.pdf:page_16, Data1_10_10861_index.pdf:page_17, Data1_10_10861_index.pdf:page_18, Data1_10_10861_index.pdf:page_25"
"Какие изменения внесены в Закон ""Об акцизах"" в статье 1?",нет в документах,"Data1_2_2082_index.pdf:page_24, Data1_2_2082_index.pdf:page_25, Data1_2_2082_index.pdf:page_27, Налоговый кодекс Российской Федерации.pdf:page_593, Налоговый кодекс Российской Федерации.pdf:page_732"
Какой штраф грозит должностным лицам за воспрепятствование осуществлению права на свободу совести и свободу вероисповедания?,За воспрепятствование осуществлению права на свободу совести и свободу вероисповедания должностным лицам грозит административный штраф в размере **от 50 000 до 100 000 рублей**.,"Административный кодекс Российской Федерации.pdf:page_384, Административный кодекс Российской Федерации.pdf:page_42, Административный кодекс Российской Федерации.pdf:page_52, Уголовный кодекс Российской Федерации.pdf:page_70, Уголовный кодекс Российской Федерации.pdf:page_78"
"Какие затраты, связанные с командированием работников подрядных организаций на стройки при обязанности российской организации относятся на объемы работ, выполняемые российскими организациями (ГОСТ)?",Нет в документах,"Data1_10_10848_index.pdf:page_9, Data1_2_2082_index.pdf:page_13, Data1_2_2082_index.pdf:page_4, Data1_2_2082_index.pdf:page_5, Data1_2_2082_index.pdf:page_7"
Какие обосновывающие документы требуются для расчета затрат на приобретение малоценного и хозяйственного инвентаря согласно ГОСТ МДС 81-7.2000?,нет в документах,"Data1_2_2070_index.pdf:page_1, Data1_2_2073_index.pdf:page_1, Data1_2_2075_index.pdf:page_1, Data1_2_2116_index.pdf:page_1, Data1_2_2117_index.pdf:page_1"
Когда вступает в силу решение об аннулировании свидетельства?,нет в документах,"Налоговый кодекс Российской Федерации.pdf:page_549, Налоговый кодекс Российской Федерации.pdf:page_550, Налоговый кодекс Российской Федерации.pdf:page_559, Налоговый кодекс Российской Федерации.pdf:page_575, Налоговый кодекс Российской Федерации.pdf:page_591"
"Какие исключения существуют для домов и дворцов культуры, расположенных в городах, районных центрах, поселках городского типа?","В контексте указано, что **дома и дворцы культуры, клубы**, учредителями которых являются **муниципальные образования**, **вправе применять налоговую ставку 0 процентов** с исключением:

- **исключение составляют дома и дворцы культуры, клубы, располагающиеся в городах, районных центрах (кроме административных центров муниципальных районов, являющихся единственным населенным пунктом муниципального района), поселках городского типа**.","Data1_1_1904_index.pdf:page_11, Data1_1_1904_index.pdf:page_12, Data1_1_1904_index.pdf:page_24, Data1_2_2080_index.pdf:page_32, Налоговый кодекс Российской Федерации.pdf:page_1111"
Какой индекс в прогнозном уровне указан для монтажных работ в 1994 году для объектов производственного назначения?,Для объектов производственного назначения в 1994 году индекс в прогнозном уровне для монтажных работ указан как **3**.,"Data1_2_2075_index.pdf:page_9, Data1_2_2080_index.pdf:page_34, Data1_2_2080_index.pdf:page_5, Data1_2_2081_index.pdf:page_1, Data1_2_2081_index.pdf:page_23"
Какие разделы могут входить в техническую часть тендерной документации согласно ГОСТ МДС-80-8.2000?,"В техническую часть тендерной документации могут входить следующие разделы (по содержанию ГОСТ/МДС-80-8.2000):

3.1. Пояснительная записка  
3.2. Генеральный план, опорные и ситуационные планы, схемы инженерных сетей  
3.3. Основные положения, характеризующие архитектурно-строительные, принципиальные конструктивные и технологические решения зданий и сооружений  
3.4. Ведомости физических объемов работ  
3.5. Особые технические условия на объект торгов  
3.6. Показатели (объемные и по площадям) по зданиям и сооружениям  
3.7. Оборудование и материалы  
3.8. Основные положения по организации строительства, сроки и графики строительства объектов торгов и видов работ  
3.9. Информация о системах измерения, стандартов, испытаний и сертификации  
3.10. Материалы инженерных изысканий  
3.11. Экологические","Data1_10_10865_index.pdf:page_1, Data1_10_10865_index.pdf:page_2, Data1_10_10865_index.pdf:page_44, Data1_10_10867_index.pdf:page_1, Data1_10_10869_index.pdf:page_1"
Как выполняются приконьковые продухи согласно ГОСТ МДС 13-18.2000?,нет в документах,"Data1_10_10852_index.pdf:page_1, Data1_10_10859_index.pdf:page_1, Data1_10_10861_index.pdf:page_1, Data1_10_10866_index.pdf:page_1, Data1_2_2073_index.pdf:page_1"
Как назначаются контрольные и дополнительные рабочие скважины в ходе работ (ГОСТ 3.02.01-83)?,"В контексте указано: «В ходе работ по данным исполнительной документации назначаются контрольные, а при необходимости и дополнительные…» (далее в фрагменте текст обрывается).

Полного описания порядка назначения контрольных и дополнительных рабочих скважин в приведённых документах нет.","Data1_11_11295_index.pdf:page_11, Data1_11_11295_index.pdf:page_15, Data1_11_11295_index.pdf:page_21, Data1_11_11295_index.pdf:page_25, Data1_11_11295_index.pdf:page_26"
Какая дата считается датой осуществления внереализационных и прочих расходов для расходов на содержание служебного транспорта?,Датой осуществления (признания) расходов на содержание служебного транспорта считается **дата утверждения авансового отчета**.,"Налоговый кодекс Российской Федерации.pdf:page_1015, Налоговый кодекс Российской Федерации.pdf:page_1022, Налоговый кодекс Российской Федерации.pdf:page_1025, Налоговый кодекс Российской Федерации.pdf:page_1067, Налоговый кодекс Российской Федерации.pdf:page_1218"
Какие объекты налогообложения исключаются из налогооблагаемой базы для налога на пользователей автомобильных дорог согласно ГОСТ МДС 81-23.2000?,"Из налогооблагаемой базы для налога на пользователей автомобильных дорог исключается:

- **налог на добавленную стоимость (НДС)** (п. 32 Инструкции от 30.03.93);
- **акцизы** — по предприятиям-**изготовителям подакцизных товаров** (п. 32 Инструкции от 30.03.93);
- **налог на реализацию горюче-смазочных материалов** — по предприятиям и организациям, которые **уплачивают** этот налог (п. 32 Инструкции от 30.03.93).","Data1_10_10848_index.pdf:page_1, Data1_2_2070_index.pdf:page_1, Data1_2_2070_index.pdf:page_13, Data1_2_2070_index.pdf:page_14, Data1_2_2117_index.pdf:page_1"
"При каких условиях суд устанавливает факты, имеющие юридическое значение?","Суд устанавливает факты, имеющие юридическое значение, **только при невозможности получения заявителем в ином порядке**.","Арбитражный процессуальный кодекс Российской Федерации.pdf:page_113, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_114, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_115, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_15, Гражданский процессуальный кодекс Российской Федерации.pdf:page_110"
Какие земли муниципальной собственности упоминаются в ГОСТ МДС 11-7.2000?,нет в документах,"Data1_10_10861_index.pdf:page_1, Data1_10_10871_index.pdf:page_1, Data1_1_1904_index.pdf:page_1, Земельный кодекс Российской Федерации.pdf:page_18, Земельный кодекс Российской Федерации.pdf:page_19"
Сколько опорных точек должно быть передано на монтажные горизонты согласно СНиП 3.01.03-84?,"Число опорных точек, передаваемых на монтажные горизонты, должно быть не менее трех.","Data1_11_11285_index.pdf:page_36, Data1_11_11285_index.pdf:page_38, Data1_11_11285_index.pdf:page_39, Data1_11_11285_index.pdf:page_4, Data1_11_11285_index.pdf:page_44"
Что такое перенос убытков на будущее?,"Перенос убытков на будущее — это право налогоплательщика уменьшать налоговую базу будущих налоговых периодов на сумму убытков, полученных в предыдущих налоговых периодах (в пределах установленных ограничений и очередности их учета).  

Также указано, что перенос таких убытков на будущие периоды можно осуществлять в течение **десяти лет**, следующих за тем налоговым периодом, в котором убыток получен.","Налоговый кодекс Российской Федерации.pdf:page_1077, Налоговый кодекс Российской Федерации.pdf:page_1369, Налоговый кодекс Российской Федерации.pdf:page_783, Налоговый кодекс Российской Федерации.pdf:page_858, Налоговый кодекс Российской Федерации.pdf:page_859"
Может ли правообладатель распоряжаться исключительным правом на произведение?,"Да. В контекстe указано, что «Правообладатель может распоряжаться исключительным правом на товарный знак», а также что публикатор обладает «исключительным правом публикатора на обнародованное им произведение».","Гражданский кодекс Российской Федерации.pdf:page_492, Гражданский кодекс Российской Федерации.pdf:page_555, Гражданский кодекс Российской Федерации.pdf:page_557, Гражданский кодекс Российской Федерации.pdf:page_618, Гражданский кодекс Российской Федерации.pdf:page_630"
Какие элементы должны быть показаны на схемах современного использования территории и схемах комплексной оценки территории для городов с расчетной численностью населения 250 - 500 тысяч человек согласно ГОСТ МДС 11-7.2000?,"В предоставленных фрагментах ГОСТ МДС 11-7.2000 указано только, что **основные графические материалы схемы районной планировки** включают **схему комплексной оценки территории** и **план современного использования территории (опорный план)**, и что они выполняются в масштабе **1:100000–1:300000** (конкретный перечень показываемых элементов для городов с расчетной численностью населения 250–500 тысяч человек в контексте отсутствует).

Поэтому по заданному вопросу: **нет в документах**.","Data1_1_1904_index.pdf:page_12, Data1_1_1904_index.pdf:page_13, Data1_1_1904_index.pdf:page_15, Data1_1_1904_index.pdf:page_25, Data1_1_1904_index.pdf:page_9"
